prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
0.098,25.833,0.098,6.67E+00,0.1,2,8,4,33,0
1.027,81.667,1.541,39.167,,,,,,
1.492,39.167,2.153,30.833,,,,,,
2.104,32.5,3.107,47.5,,,,,,
2.544,50.833,3.987,26.667,,,,,,
3.131,27.5,4.501,34.167,,,,,,
3.816,32.5,5.137,18.333,,,,,,
4.208,48.333,5.944,20,,,,,,
5.088,64.167,7.094,78.333,,,,,,
5.651,106.667,8.366,29.167,,,,,,
6.116,100.833,10.005,10,,,,,,
6.874,30.833,11.669,85.833,,,,,,
7.534,11.667,12.5,60,,,,,,
8.66,49.167,13.039,65.833,,,,,,
9.589,73.333,14.824,19.167,,,,,,
10.079,236.667,15.925,22.5,,,,,,
10.739,299.167,17.099,116.667,,,,,,
11.13,160,17.54,100,,,,,,
11.644,50.833,17.931,100,,,,,,
12.085,21.667,19.423,17.5,,,,,,
12.647,36.667,20.646,13.333,,,,,,
13.699,16.667,21.992,43.333,,,,,,
14.286,27.5,22.506,35,,,,,,
15.191,90.833,23.533,70.833,,,,,,
15.705,101.667,25.294,38.333,,,,,,
16.635,222.5,26.444,13.333,,,,,,
17.075,45,26.933,23.333,,,,,,
17.466,20,27.349,15.833,,,,,,
17.98,13.333,29.551,84.167,,,,,,
19.277,31.667,30.089,52.5,,,,,,
19.986,49.167,30.456,51.667,,,,,,
21.136,161.667,31.288,16.667,,,,,,
21.576,152.5,32.168,20.833,,,,,,
22.065,107.5,32.878,50,,,,,,
22.53,91.667,,,,,,,,
23.117,98.333,,,,,,,,
24.463,20,,,,,,,,
25.906,41.667,,,,,,,,
26.469,61.667,,,,,,,,
27.667,233.333,,,,,,,,
28.034,115.833,,,,,,,,
28.499,125,,,,,,,,
29.086,77.5,,,,,,,,
29.282,35.833,,,,,,,,
29.942,12.5,,,,,,,,
30.921,19.167,,,,,,,,
31.337,51.667,,,,,,,,
31.875,61.667,,,,,,,,
32.927,203.333,,,,,,,,
