"","prey_time","prey_pop","pred_time","pred_pop","start","end","c_prey","c_pred","window","dilution.rate","Source"
"68","427.013","5.573",517.403,5.592,NA,NA,"","",NA,NA,"Bohannan 1997.csv"
"69","496.364","5.475",539.221,2.425,NA,NA,"","",NA,NA,"Bohannan 1997.csv"
"70","514.286","5.573",562.597,1.115,NA,NA,"","",NA,NA,"Bohannan 1997.csv"
"71","520.519","5.436",588.312,3.891,NA,NA,"","",NA,NA,"Bohannan 1997.csv"
"72","539.221","5.69",NA,NA,NA,NA,"","",NA,NA,"Bohannan 1997.csv"
"73","565.714","5.69",NA,NA,NA,NA,"","",NA,NA,"Bohannan 1997.csv"
"74","589.87","5.67",NA,NA,NA,NA,"","",NA,NA,"Bohannan 1997.csv"
"75","2.3305","2.104",0,0,0.05,2,"2","4",33,0.0385,"Boraas 1985.csv"
"76","20.9746","2.104",23.3051,0,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"77","48.9407","2.0925",44.2797,0,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"78","74.5763","2.1387",74.5763,0.037,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"79","123.5169","1.7919",121.1864,0.321,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"80","146.822","1.1908",146.822,0.7901,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"81","156.1441","0.6705",153.8136,1.2593,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"82","167.7966","0.2081",165.4661,1.7531,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"83","181.7797","0.0347",179.4492,1.963,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"84","195.7627","0.0116",188.7712,1.642,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"85","207.4153","0.0116",207.4153,1.2593,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"86","219.0678","0.0116",216.7373,0.9136,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"87","235.3814","0.0231",235.3814,0.5679,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"88","263.3475","0.1503",268.0085,0.284,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"89","277.3305","0.3006",279.661,0.1975,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"90","305.2966","1.6532",288.9831,0.1852,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"91","312.2881","2.0231",305.2966,0.1605,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"92","326.2712","1.7803",316.9492,0.2222,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"93","340.2542","1.7225",328.6017,0.2963,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"94","354.2373","1.3988",335.5932,0.321,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"95","361.2288","1.3295",349.5763,0.3827,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"96","375.2119","1.3064",361.2288,0.3951,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"97","382.2034","1.1329",368.2203,0.5062,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"98","386.8644","0.9942",377.5424,0.5432,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"99","396.1864","0.8092",384.5339,0.6296,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"100","405.5085","0.7514",396.1864,0.7407,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"101","410.1695","0.578",400.8475,0.8272,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"102","424.1525","0.2775",405.5085,1.0494,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"103","428.8136","0.1156",419.4915,1.0988,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"104","435.8051","0.0462",426.4831,1.358,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"105","449.7881","0.0116",440.4661,1.1852,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"106","461.4407","0.0347",449.7881,0.9506,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"107","470.7627","0.0578",454.4492,0.7778,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"108","477.7542","0.2197",459.1102,0.7284,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"109","482.4153","0.1965",463.7712,0.642,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"110","494.0678","0.4162",470.7627,0.4938,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"111","496.3983","0.5896",475.4237,0.5309,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"112","503.3898","0.7861",477.7542,0.4198,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"113","508.0508","0.9711",489.4068,0.321,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"114","517.3729","1.1098",498.7288,0.358,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"115","531.3559","1.2254",508.0508,0.3827,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"116","540.678","0.9827",515.0424,0.3704,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"117","552.3305","0.9595",519.7034,0.3704,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"118","559.322","0.8786",524.3644,0.4321,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"119","568.6441","0.6705",543.0085,0.5679,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"120","580.2966","0.4624",545.339,0.5062,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"121","589.6186","0.2775",554.661,0.716,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"122","596.6102","0.1387",563.9831,0.8025,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"123","603.6017","0.0578",575.6356,1.0123,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"124","612.9237","0.0347",587.2881,0.9506,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"125","631.5678","0.0347",591.9492,1.1358,NA,NA,"","",NA,NA,"Boraas 1985.csv"
"126","643.2203","0.0694",601.2712,1.1728,NA,NA,"","",NA,NA,"Boraas 1985.csv"
