prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1,5.05,1,1.81,0.08,2,2,6,50,0.69
2,3.24,2,4.31,,,,,,
3,1.44,3,9.19,,,,,,
4,0.11,4,9.4,,,,,,
5,0.045,5,13.4,,,,,,
6,0.14,6,6.6,,,,,,
7,1.1,7,4.19,,,,,,
8,0.805,8,10.4,,,,,,
9,0.665,9,9.4,,,,,,
10,1.435,10,5.4,,,,,,
11,1.815,11,6.8,,,,,,
12,2.61,12,4.25,,,,,,
13,2.515,13,5.69,,,,,,
14,2.495,14,9,,,,,,
15,3.155,15,11.54,,,,,,
16,2.95,16,4.67,,,,,,
17,2.13,17,9.23,,,,,,
18,2.345,18,11.25,,,,,,
19,2.205,19,11.88,,,,,,
20,1.655,20,7.57,,,,,,
21,1.43,21,8.4,,,,,,
22,1.355,22,10.38,,,,,,
23,0.82,23,10.2,,,,,,
24,0.705,24,13.1,,,,,,
25,0.7,25,8.6,,,,,,
26,0.76,26,19.5,,,,,,
27,1.04,27,13.69,,,,,,
28,1.275,28,14.38,,,,,,
29,1.595,29,7.63,,,,,,
30,1.985,30,8.81,,,,,,
31,1.945,31,8.13,,,,,,
32,2.54,32,8.81,,,,,,
33,2.8,33,6.44,,,,,,
34,2.89,34,7.56,,,,,,
35,2.84,35,5.31,,,,,,
36,2.95,36,3.19,,,,,,
37,3.045,37,6.5,,,,,,
38,2.6,38,11.13,,,,,,
39,2.065,39,14.44,,,,,,
40,1.44,40,8.06,,,,,,
41,1.445,41,6.06,,,,,,
42,1.28,42,13.75,,,,,,
43,1.375,43,14.06,,,,,,
44,1.075,44,7.81,,,,,,
45,0.915,45,17.28,,,,,,
46,0.7,46,10.19,,,,,,
47,0.605,47,10.25,,,,,,
48,0.895,48,12,,,,,,
49,0.91,49,22.25,,,,,,
50,0.955,50,12.81,,,,,,
51,0.66,51,14.13,,,,,,
52,0.69,52,22.44,,,,,,
53,0.63,53,17,,,,,,
54,0.82,54,10.63,,,,,,
55,0.6,55,7.5,,,,,,
56,1.02,56,13.44,,,,,,
57,1.65,57,9.5,,,,,,
58,2.4,58,7.44,,,,,,
59,2.65,59,4.69,,,,,,
60,2.81,60,9.44,,,,,,
61,2.7,61,7.44,,,,,,
