Species,Life stage,Life style,Taxonomic group,Host species,Lake,Season,Number of samples,Minimum sample size,Maximum sample size,Total sample size,Log total sample size,Body mass (mg),Log body mass,Mean density (m²),Log mean,SD,SD/Mean,Variance,Log variance
Daphnia sp,Ad,Free-living,Crustacean,,Waihola,January,16,1,16,82,1.9138138524,0.188193548,-0.72539527,10.25,1.010723865,7.928850274,0.773546368,62.86666667,1.798420434
Daphnia sp,Ad,Free-living,Crustacean,,Hayes,May,16,1,63,262,2.4183012913,0.188193548,-0.72539527,32.75,1.515211304,40.47633053,1.23591849,1638.333333,3.214402267
Daphnia sp,Ad,Free-living,Crustacean,,Waihola,May,16,1,37,346,2.5390760988,0.188193548,-0.72539527,43.25,1.635986112,27.58622845,0.637831872,761,2.881384657
Daphnia sp,Ad,Free-living,Crustacean,,Tomahawk,January,16,0,149,733,2.8651039746,0.188193548,-0.72539527,91.625,1.962013988,111.7812596,1.219986462,12495.05,4.096737998
Daphnia sp,Ad,Free-living,Crustacean,,Hayes,September,16,0,764,2695,3.4305587695,0.188193548,-0.72539527,336.875,2.527468783,510.443451,1.515231023,260552.5167,5.415895272
Daphnia sp,Ad,Free-living,Crustacean,,Hayes,January,16,6,636,3278,3.5156089492,0.188193548,-0.72539527,409.75,2.612518962,462.8888275,1.129685973,214266.0667,5.330953397
Daphnia sp,Ad,Free-living,Crustacean,,Tuakitoto,January,16,64,3000,15714,4.1962867488,0.188193548,-0.72539527,1964.25,3.293196762,1750.495682,0.891177641,3064235.133,6.486322088
Diaprepocoris sp,Ad,Free-living parasitised,Insect,,Tuakitoto,January,24,0,2,4,0.6020599913,10.87425,1.0363993133,0.333333333,-0.477121255,0.963086825,2.889260474,0.927536232,-0.032669117
Diaprepocoris sp,Ad,Free-living parasitised,Insect,,Tomahawk,May,24,0,5,14,1.1461280357,10.87425,1.0363993133,1.166666667,0.06694679,2.277807234,1.952406201,5.188405797,0.715033936
Diaprepocoris sp,Ad,Free-living parasitised,Insect,,Tuakitoto,May,24,0,16,20,1.3010299957,10.87425,1.0363993133,1.666666667,0.22184875,6.505293274,3.903175964,42.31884058,1.626533761
Elmid sp,Ad,Free-living,Insect,,Tomahawk,September,24,0,1,1,0,9.7364,0.9883984077,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Elmid sp,L,Free-living,Insect,,Hayes,January,24,0,1,1,0,5.389,0.7315081836,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Elmid sp,L,Free-living,Insect,,Hayes,May,24,0,1,1,0,5.389,0.7315081836,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Empididae sp,L,Free-living,Insect,,Hayes,May,24,0,1,1,0,3.5632,0.5518401997,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Empididae sp,L,Free-living,Insect,,Tuakitoto,January,24,0,2,2,0.3010299957,3.5632,0.5518401997,0.833333333,-0.079181246,4.082482905,4.898979486,16.66666667,1.22184875
Empididae sp,L,Free-living,Insect,,Hayes,September,24,0,2,6,0.7781512504,3.5632,0.5518401997,1.833333333,0.263241435,4.966554809,2.709029896,24.66666667,1.392110465
Empididae sp,L,Free-living,Insect,,Hayes,January,24,0,3,5,0.6989700043,3.5632,0.5518401997,2.083333333,0.318758763,6.580053301,3.158425585,43.29710145,1.636458823
Eylaidae sp,Ad,Free-living,Mite,,Tuakitoto,September,24,0,3,3,0.4771212547,5.6429254,0.7515043089,0.25,-0.602059991,1.224744871,4.898979486,1.5,0.176091259
Eylaidae sp,Ad,Free-living,Mite,,Tuakitoto,January,24,0,8,28,1.4471580313,5.6429254,0.7515043089,2.333333333,0.367976785,4.197998143,1.799142061,17.62318841,1.246084484
Galaxias argenteus,Ad,Free-living,Fish,,Waihola,September,4,0,1,1,0,100000,5,0.001111111,-2.954242509,0.002222222,2,0.00000494,-5.306425028
Galaxias argenteus,Ad,Free-living,Fish,,Tuakitoto,May,4,0,3,4,0.6020599913,294500,5.4690852991,0.004444444,-2.352182518,0.006285394,1.414213562,0.0000395062,-4.403335041
Galaxias maculatus,Ad,Free-living parasitised,Fish,,Tomahawk,May,4,0,2,2,0.3010299957,9325,3.9696488405,0.002222222,-2.653212514,0.004444444,2,0.0000197531,-4.704365036
Galaxias maculatus,Ad,Free-living parasitised,Fish,,Tomahawk,September,4,0,4,9,0.9542425094,8484.444444,3.9286234103,0.01,-2,0.007590334,0.75903339,0.0000576132,-4.239478238
Galaxias maculatus,Ad,Free-living parasitised,Fish,,Tuakitoto,September,4,1,4,12,1.079181246,1315.833333,3.1192008839,0.013333333,-1.875061263,0.006285394,0.471404521,0.0000395062,-4.403335041
Galaxias maculatus,Ad,Free-living parasitised,Fish,,Waihola,September,4,2,9,23,1.361727836,1605,3.2054750367,0.025555556,-1.592514673,0.014684613,0.574615293,0.000215638,-3.666274987
Galaxias maculatus,Ad,Free-living parasitised,Fish,,Waihola,January,4,0,21,36,1.5563025008,2266.666667,3.3553876581,0.04,-1.397940009,0.047453681,1.186342028,0.002251852,-2.647460185
Galaxias maculatus,Ad,Free-living parasitised,Fish,,Tomahawk,January,4,1,49,74,1.8692317197,9932.666667,3.9970658611,0.082222222,-1.08501079,0.098816036,1.201816659,0.009764609,-2.01034514
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Tuakitoto,January,4,0,1,1,0,100,2,0.001111111,-2.954242509,0.002222222,2,0.00000494,-5.306425028
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Hayes,May,4,0,9,11,1.0413926852,3045.454545,3.4836521218,0.012222222,-1.912849824,0.018986675,1.553455226,0.000360494,-3.443102167
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Waihola,May,4,0,10,14,1.1461280357,583.5714286,2.7660940209,0.015555556,-1.808114474,0.02004111,1.288357072,0.000401646,-3.396156456
Gobiomorphus cotidianus,Ad,Free-living parasitised,Fish,,Tuakitoto,September,4,2,10,25,1.3979400087,1434.782609,3.156786104,0.027777778,-1.556302501,0.017165378,0.617953612,0.00029465,-3.530693251
