ASSESSID,TSYEAR,PT_AVAIL,SSB,R,TOTAL,F,CPUE,CATCH_LANDINGS
AFWG-CODNEAR-1943-2006-MINTO,1960,12,383479,472064,2050805,0.4789,,622042
AFWG-CODNEAR-1943-2006-MINTO,1961,12,404228,338678,2137149,0.6348,,783221
AFWG-CODNEAR-1943-2006-MINTO,1962,12,311678,776941,1957006,0.7576,,909266
AFWG-CODNEAR-1943-2006-MINTO,1963,12,208207,1582560,1747579,0.9866,,776337
AFWG-CODNEAR-1943-2006-MINTO,1964,12,186570,1295416,1374529,0.6789,,437695
AFWG-CODNEAR-1943-2006-MINTO,1965,12,102315,164955,1440693,0.5533,,444930
AFWG-CODNEAR-1943-2006-MINTO,1966,12,120722,112039,2198418,0.5302,,483711
AFWG-CODNEAR-1943-2006-MINTO,1967,12,129784,197105,2852164,0.5439,,572605
AFWG-CODNEAR-1943-2006-MINTO,1968,12,227215,404774,3387455,0.5704,,1074084
AFWG-CODNEAR-1943-2006-MINTO,1969,12,151870,1015319,2805591,0.8292,,1197226
AFWG-CODNEAR-1943-2006-MINTO,1970,12,224482,1818949,2057698,0.7493,,933246
AFWG-CODNEAR-1943-2006-MINTO,1971,12,311662,523916,1610969,0.5956,,689048
AFWG-CODNEAR-1943-2006-MINTO,1972,12,346511,621616,1621485,0.6928,,565254
AFWG-CODNEAR-1943-2006-MINTO,1973,12,332913,613942,2401955,0.602,,792685
AFWG-CODNEAR-1943-2006-MINTO,1974,12,164491,348054,2236387,0.5633,,1102433
AFWG-CODNEAR-1943-2006-MINTO,1975,12,142028,638490,2037430,0.6595,,829377
AFWG-CODNEAR-1943-2006-MINTO,1976,12,171238,198490,1931396,0.6457,,867463
AFWG-CODNEAR-1943-2006-MINTO,1977,12,341385,137735,1950748,0.8379,,905301
AFWG-CODNEAR-1943-2006-MINTO,1978,12,241536,150868,1576565,0.9406,,698715
AFWG-CODNEAR-1943-2006-MINTO,1979,12,174699,151830,1114381,0.7264,,440538
AFWG-CODNEAR-1943-2006-MINTO,1980,12,108253,166831,863862,0.7241,,380434
AFWG-CODNEAR-1943-2006-MINTO,1981,12,166926,397831,983658,0.8632,,399038
AFWG-CODNEAR-1943-2006-MINTO,1982,12,326133,523674,750871,0.7583,,363730
AFWG-CODNEAR-1943-2006-MINTO,1983,12,327181,1037294,738675,0.756,,289992
AFWG-CODNEAR-1943-2006-MINTO,1984,12,251087,286233,817596,0.9161,,277651
AFWG-CODNEAR-1943-2006-MINTO,1985,12,193856,204644,957513,0.7038,,307920
AFWG-CODNEAR-1943-2006-MINTO,1986,12,170729,172781,1293972,0.8649,,430113
AFWG-CODNEAR-1943-2006-MINTO,1987,12,121243,242749,1126251,0.951,,523071
AFWG-CODNEAR-1943-2006-MINTO,1988,12,202589,411727,915458,0.9743,,434939
AFWG-CODNEAR-1943-2006-MINTO,1989,12,234716,720977,890358,0.6602,,332481
AFWG-CODNEAR-1943-2006-MINTO,1990,12,316417,896132,962672,0.271,,212000
AFWG-CODNEAR-1943-2006-MINTO,1991,12,704743,810730,1561682,0.321,,319158
AFWG-CODNEAR-1943-2006-MINTO,1992,12,887558,659269,1912130,0.455,,513234
AFWG-CODNEAR-1943-2006-MINTO,1993,12,775169,437438,2360042,0.5528,,581611
AFWG-CODNEAR-1943-2006-MINTO,1994,12,614856,715534,2156027,0.8678,,771086
AFWG-CODNEAR-1943-2006-MINTO,1995,12,528745,843569,1826370,0.7881,,739999
AFWG-CODNEAR-1943-2006-MINTO,1996,12,571465,547506,1686462,0.6989,,732228
AFWG-CODNEAR-1943-2006-MINTO,1997,12,588322,611503,1531660,1.0347,,762403
AFWG-CODNEAR-1943-2006-MINTO,1998,12,385508,531705,1229095,0.9192,,592624
AFWG-CODNEAR-1943-2006-MINTO,1999,12,292298,441520,1099574,0.9937,,484910
AFWG-CODNEAR-1943-2006-MINTO,2000,12,239848,638975,1099999,0.8585,,414868
AFWG-CODNEAR-1943-2006-MINTO,2001,12,353956,322496,1377969,0.7242,,426471
AFWG-CODNEAR-1943-2006-MINTO,2002,12,495634,554414,1548947,0.6771,,535045
AFWG-CODNEAR-1943-2006-MINTO,2003,12,547018,408987,1612359,0.5357,,551990
AFWG-CODNEAR-1943-2006-MINTO,2004,12,660389,,1571512,0.6899,,606445
AFWG-CODNEAR-1943-2006-MINTO,2005,12,614399,,1551802,0.7301,,641276
AFWG-CODNEAR-1943-2006-MINTO,2006,12,590631,,1462430,0.6575,,596197
AFWG-GHALNEAR-1959-2007-JENNINGS,1959,5,,42840,,,,
AFWG-GHALNEAR-1959-2007-JENNINGS,1960,5,,51686,,,,
AFWG-GHALNEAR-1959-2007-JENNINGS,1961,5,,57828,,,,
AFWG-GHALNEAR-1959-2007-JENNINGS,1962,5,,70443,,,,
AFWG-GHALNEAR-1959-2007-JENNINGS,1963,5,,64280,,,,
AFWG-GHALNEAR-1959-2007-JENNINGS,1964,5,72644,55932,172936,0.3146,,40391
AFWG-GHALNEAR-1959-2007-JENNINGS,1965,5,69254,41112,171359,0.2643,,34751
AFWG-GHALNEAR-1959-2007-JENNINGS,1966,5,68557,31550,181480,0.1601,,26321
AFWG-GHALNEAR-1959-2007-JENNINGS,1967,5,76709,33556,209628,0.1376,,24267
AFWG-GHALNEAR-1959-2007-JENNINGS,1968,5,90723,31062,244355,0.1309,,26168
AFWG-GHALNEAR-1959-2007-JENNINGS,1969,5,116540,26643,274335,0.1988,,43789
AFWG-GHALNEAR-1959-2007-JENNINGS,1970,5,139620,22541,312354,0.4204,,89484
AFWG-GHALNEAR-1959-2007-JENNINGS,1971,5,111283,22099,242815,0.4223,,79034
AFWG-GHALNEAR-1959-2007-JENNINGS,1972,5,94880,23690,196239,0.3019,,43055
AFWG-GHALNEAR-1959-2007-JENNINGS,1973,5,95796,20593,180305,0.2252,,29938
AFWG-GHALNEAR-1959-2007-JENNINGS,1974,5,91520,19704,173130,0.2787,,37763
AFWG-GHALNEAR-1959-2007-JENNINGS,1975,5,79762,18609,152726,0.336,,38172
AFWG-GHALNEAR-1959-2007-JENNINGS,1976,5,62688,17881,126107,0.4264,,36074
AFWG-GHALNEAR-1959-2007-JENNINGS,1977,5,45324,18938,100805,0.3409,,28827
AFWG-GHALNEAR-1959-2007-JENNINGS,1978,5,35940,19011,87153,0.3659,,24617
AFWG-GHALNEAR-1959-2007-JENNINGS,1979,5,35657,17821,104916,0.1911,,17312
AFWG-GHALNEAR-1959-2007-JENNINGS,1980,5,34659,19932,86099,0.172,,13284
AFWG-GHALNEAR-1959-2007-JENNINGS,1981,5,39594,19877,92049,0.1445,,15018
AFWG-GHALNEAR-1959-2007-JENNINGS,1982,5,38440,19443,87707,0.2187,,16789
AFWG-GHALNEAR-1959-2007-JENNINGS,1983,5,42808,23000,103919,0.2911,,22147
AFWG-GHALNEAR-1959-2007-JENNINGS,1984,5,39276,20763,93175,0.3381,,21883
AFWG-GHALNEAR-1959-2007-JENNINGS,1985,5,41207,14543,92239,0.305,,19945
AFWG-GHALNEAR-1959-2007-JENNINGS,1986,5,40663,12694,91441,0.3509,,22875
AFWG-GHALNEAR-1959-2007-JENNINGS,1987,5,30421,10569,84819,0.3486,,19112
AFWG-GHALNEAR-1959-2007-JENNINGS,1988,5,26897,12995,84540,0.4048,,19587
AFWG-GHALNEAR-1959-2007-JENNINGS,1989,5,24183,18388,88327,0.3182,,20138
AFWG-GHALNEAR-1959-2007-JENNINGS,1990,5,21123,17916,77709,0.4231,,23183
AFWG-GHALNEAR-1959-2007-JENNINGS,1991,5,25074,18479,72027,0.6561,,33320
AFWG-GHALNEAR-1959-2007-JENNINGS,1992,5,16233,20472,45036,0.2438,,8602
AFWG-GHALNEAR-1959-2007-JENNINGS,1993,5,18329,18571,51756,0.3158,,11933
AFWG-GHALNEAR-1959-2007-JENNINGS,1994,5,15902,15032,51848,0.2658,,9226
AFWG-GHALNEAR-1959-2007-JENNINGS,1995,5,14516,15758,58826,0.3139,,11734
AFWG-GHALNEAR-1959-2007-JENNINGS,1996,5,14534,15079,67730,0.3379,,14347
AFWG-GHALNEAR-1959-2007-JENNINGS,1997,5,15822,17747,71502,0.2362,,9410
AFWG-GHALNEAR-1959-2007-JENNINGS,1998,5,17612,16375,80464,0.2368,,11893
AFWG-GHALNEAR-1959-2007-JENNINGS,1999,5,18174,19834,83125,0.3486,,19517
AFWG-GHALNEAR-1959-2007-JENNINGS,2000,5,21453,27211,83900,0.2305,,14437
AFWG-GHALNEAR-1959-2007-JENNINGS,2001,5,28784,39270,89415,0.2278,,16307
AFWG-GHALNEAR-1959-2007-JENNINGS,2002,5,37238,,88365,0.1762,,13161
AFWG-GHALNEAR-1959-2007-JENNINGS,2003,5,41870,,95402,0.1775,,13578
AFWG-GHALNEAR-1959-2007-JENNINGS,2004,5,44916,,108925,0.2163,,18800
AFWG-GHALNEAR-1959-2007-JENNINGS,2005,5,40350,,104748,0.2281,,18834
AFWG-GHALNEAR-1959-2007-JENNINGS,2006,5,35749,,111734,0.2239,,17910
AFWG-GHALNEAR-1959-2007-JENNINGS,2007,5,,,,,,
AFWG-GOLDREDNEAR-1986-2006-MINTO,1986,7,,,,,,30203
AFWG-GOLDREDNEAR-1986-2006-MINTO,1987,7,,44912,,,,24077
AFWG-GOLDREDNEAR-1986-2006-MINTO,1988,7,,37431,,,,25908
AFWG-GOLDREDNEAR-1986-2006-MINTO,1989,7,,30294,,,,23234
AFWG-GOLDREDNEAR-1986-2006-MINTO,1990,7,66712,32014,163536,0.252,,28072
AFWG-GOLDREDNEAR-1986-2006-MINTO,1991,7,69246,15142,161097,0.175,,19041
AFWG-GOLDREDNEAR-1986-2006-MINTO,1992,7,72198,11976,159928,0.147,378,16185
AFWG-GOLDREDNEAR-1986-2006-MINTO,1993,7,74549,8920,157628,0.151,374,16651
AFWG-GOLDREDNEAR-1986-2006-MINTO,1994,7,75122,10234,152391,0.168,357,18120
AFWG-GOLDREDNEAR-1986-2006-MINTO,1995,7,75317,6617,146167,0.149,300,15616
AFWG-GOLDREDNEAR-1986-2006-MINTO,1996,7,74453,11768,138725,0.172,363,18043
AFWG-GOLDREDNEAR-1986-2006-MINTO,1997,7,71745,5524,128797,0.175,331,17511
AFWG-GOLDREDNEAR-1986-2006-MINTO,1998,7,67274,6114,116563,0.206,230,19155
AFWG-GOLDREDNEAR-1986-2006-MINTO,1999,7,60661,3547,102001,0.165,224,18986
AFWG-GOLDREDNEAR-1986-2006-MINTO,2000,7,54817,6566,89741,0.192,330,14461
AFWG-GOLDREDNEAR-1986-2006-MINTO,2001,7,48736,24504,77760,0.151,349,10547
AFWG-GOLDREDNEAR-1986-2006-MINTO,2002,7,46057,13742,70920,0.146,192,9643
AFWG-GOLDREDNEAR-1986-2006-MINTO,2003,7,43096,17464,64240,0.129,136,7840
AFWG-GOLDREDNEAR-1986-2006-MINTO,2004,7,39754,,57934,0.132,176,7319
AFWG-GOLDREDNEAR-1986-2006-MINTO,2005,7,36492,,52545,0.141,119,7037
AFWG-GOLDREDNEAR-1986-2006-MINTO,2006,7,32572,,47231,0.178,,7690
AFWG-HADNEAR-1947-2006-MINTO,1947,12,,76587,,,,
AFWG-HADNEAR-1947-2006-MINTO,1948,12,,633307,,,,
AFWG-HADNEAR-1947-2006-MINTO,1949,12,,69415,,,,
AFWG-HADNEAR-1947-2006-MINTO,1950,12,130673,1184843,233605,0.842,,132125
AFWG-HADNEAR-1947-2006-MINTO,1951,12,97793,140265,339404,0.6402,,120077
AFWG-HADNEAR-1947-2006-MINTO,1952,12,55484,59170,225451,0.7501,,127660
AFWG-HADNEAR-1947-2006-MINTO,1953,12,83408,193612,485488,0.5298,,123920
AFWG-HADNEAR-1947-2006-MINTO,1954,12,115378,59968,511793,0.3935,,156788
AFWG-HADNEAR-1947-2006-MINTO,1955,12,177313,78470,466716,0.5249,,202286
AFWG-HADNEAR-1947-2006-MINTO,1956,12,239723,372268,454097,0.4709,,213924
AFWG-HADNEAR-1947-2006-MINTO,1957,12,179133,274309,308625,0.4598,,123583
AFWG-HADNEAR-1947-2006-MINTO,1958,12,148420,123997,259049,0.5576,,112672
AFWG-HADNEAR-1947-2006-MINTO,1959,12,120848,273225,335699,0.4165,,88211
AFWG-HADNEAR-1947-2006-MINTO,1960,12,103516,314406,373935,0.5149,,154651
AFWG-HADNEAR-1947-2006-MINTO,1961,12,119747,365687,368064,0.6885,,193224
AFWG-HADNEAR-1947-2006-MINTO,1962,12,109624,116589,324934,0.8498,,187408
AFWG-HADNEAR-1947-2006-MINTO,1963,12,73512,273231,287198,0.9053,,146224
AFWG-HADNEAR-1947-2006-MINTO,1964,12,57543,339592,278484,0.6782,,99158
AFWG-HADNEAR-1947-2006-MINTO,1965,12,89749,20490,334571,0.5181,,118578
AFWG-HADNEAR-1947-2006-MINTO,1966,12,120900,20119,363302,0.6339,,161778
AFWG-HADNEAR-1947-2006-MINTO,1967,12,144457,188253,437318,0.4433,,136397
AFWG-HADNEAR-1947-2006-MINTO,1968,12,157940,109166,395789,0.5307,,181726
AFWG-HADNEAR-1947-2006-MINTO,1969,12,170294,1156182,319281,0.4114,,130820
AFWG-HADNEAR-1947-2006-MINTO,1970,12,142449,306169,263806,0.3769,,88257
AFWG-HADNEAR-1947-2006-MINTO,1971,12,153173,60154,316615,0.2568,,78905
AFWG-HADNEAR-1947-2006-MINTO,1972,12,115266,55330,573954,0.7362,,266153
AFWG-HADNEAR-1947-2006-MINTO,1973,12,105932,62531,554125,0.5872,,322226
AFWG-HADNEAR-1947-2006-MINTO,1974,12,188466,126984,547416,0.5091,,221157
AFWG-HADNEAR-1947-2006-MINTO,1975,12,226039,198110,431352,0.5331,,175758
AFWG-HADNEAR-1947-2006-MINTO,1976,12,177295,162269,263761,0.6919,,137264
AFWG-HADNEAR-1947-2006-MINTO,1977,12,106430,28016,184355,0.8337,,110158
AFWG-HADNEAR-1947-2006-MINTO,1978,12,83503,12551,197437,0.6748,,95422
AFWG-HADNEAR-1947-2006-MINTO,1979,12,74082,15833,246810,0.6907,,103623
AFWG-HADNEAR-1947-2006-MINTO,1980,12,72988,8961,260431,0.494,,87889
AFWG-HADNEAR-1947-2006-MINTO,1981,12,87396,12078,217307,0.4789,,77153
AFWG-HADNEAR-1947-2006-MINTO,1982,12,88139,289498,163240,0.3545,,46955
AFWG-HADNEAR-1947-2006-MINTO,1983,12,55102,526284,84700,0.3061,,24600
AFWG-HADNEAR-1947-2006-MINTO,1984,12,49797,115566,67367,0.2809,,20945
AFWG-HADNEAR-1947-2006-MINTO,1985,12,49753,55068,168216,0.3407,,45052
AFWG-HADNEAR-1947-2006-MINTO,1986,12,50161,26504,327072,0.4927,,100563
AFWG-HADNEAR-1947-2006-MINTO,1987,12,63646,36262,322184,0.6395,,154916
AFWG-HADNEAR-1947-2006-MINTO,1988,12,72658,104284,255134,0.5104,,95255
AFWG-HADNEAR-1947-2006-MINTO,1989,12,85384,210705,207243,0.3784,,58518
AFWG-HADNEAR-1947-2006-MINTO,1990,12,93128,686776,168872,0.1562,,27182
AFWG-HADNEAR-1947-2006-MINTO,1991,12,110008,306899,193844,0.2039,,36216
AFWG-HADNEAR-1947-2006-MINTO,1992,12,125665,98941,268334,0.2881,,59922
AFWG-HADNEAR-1947-2006-MINTO,1993,12,129260,105861,445972,0.368,,82379
AFWG-HADNEAR-1947-2006-MINTO,1994,12,151787,116059,558005,0.4383,,135186
AFWG-HADNEAR-1947-2006-MINTO,1995,12,170283,62179,551910,0.3791,,142448
AFWG-HADNEAR-1947-2006-MINTO,1996,12,217369,235659,490633,0.4021,,178128
AFWG-HADNEAR-1947-2006-MINTO,1997,12,200535,93180,365956,0.4485,,154359
AFWG-HADNEAR-1947-2006-MINTO,1998,12,155209,395966,268994,0.387,,100630
AFWG-HADNEAR-1947-2006-MINTO,1999,12,123806,369661,271341,0.398,,83195
AFWG-HADNEAR-1947-2006-MINTO,2000,12,114818,235748,268544,0.2611,,68944
AFWG-HADNEAR-1947-2006-MINTO,2001,12,144710,224256,380098,0.2603,,89640
AFWG-HADNEAR-1947-2006-MINTO,2002,12,160354,338882,474575,0.2898,,114794
AFWG-HADNEAR-1947-2006-MINTO,2003,12,204731,134557,549450,0.3966,,138945
AFWG-HADNEAR-1947-2006-MINTO,2004,12,217469,,519741,0.3263,,157854
AFWG-HADNEAR-1947-2006-MINTO,2005,12,248181,,558585,0.3778,,158299
AFWG-HADNEAR-1947-2006-MINTO,2006,12,226657,,483027,0.3951,,172173
AFWG-POLLNEAR-1957-2006-MINTO,1957,6,,88173,,,,
AFWG-POLLNEAR-1957-2006-MINTO,1958,6,,92920,,,,
AFWG-POLLNEAR-1957-2006-MINTO,1959,6,,170143,,,,
AFWG-POLLNEAR-1957-2006-MINTO,1960,6,250637,289935,445745,0.3276,,133515
AFWG-POLLNEAR-1957-2006-MINTO,1961,6,283486,97186,468910,0.1971,,105951
AFWG-POLLNEAR-1957-2006-MINTO,1962,6,338725,283653,570532,0.2228,,120707
AFWG-POLLNEAR-1957-2006-MINTO,1963,6,365249,144689,728082,0.2334,,148627
AFWG-POLLNEAR-1957-2006-MINTO,1964,6,449676,190738,792583,0.2487,,197426
AFWG-POLLNEAR-1957-2006-MINTO,1965,6,484948,150801,859287,0.231,,185600
AFWG-POLLNEAR-1957-2006-MINTO,1966,6,513916,296371,898826,0.2983,,203788
AFWG-POLLNEAR-1957-2006-MINTO,1967,6,581740,280751,922127,0.2679,,181326
AFWG-POLLNEAR-1957-2006-MINTO,1968,6,541059,287484,855213,0.1193,,110247
AFWG-POLLNEAR-1957-2006-MINTO,1969,6,543703,161777,947816,0.1606,,140060
AFWG-POLLNEAR-1957-2006-MINTO,1970,6,649873,217484,1113606,0.333,,264924
AFWG-POLLNEAR-1957-2006-MINTO,1971,6,642603,83523,1136132,0.3776,,241272
AFWG-POLLNEAR-1957-2006-MINTO,1972,6,583001,149692,972455,0.3346,,214334
AFWG-POLLNEAR-1957-2006-MINTO,1973,6,575498,231999,897173,0.3986,,213859
AFWG-POLLNEAR-1957-2006-MINTO,1974,6,465234,201094,690532,0.5961,,274121
AFWG-POLLNEAR-1957-2006-MINTO,1975,6,367034,117719,555183,0.4519,,233453
AFWG-POLLNEAR-1957-2006-MINTO,1976,6,250078,190762,511871,0.5855,,242486
AFWG-POLLNEAR-1957-2006-MINTO,1977,6,168166,111632,419117,0.5019,,182817
AFWG-POLLNEAR-1957-2006-MINTO,1978,6,171143,275149,365487,0.504,,154464
AFWG-POLLNEAR-1957-2006-MINTO,1979,6,142892,115583,367831,0.5672,,164180
AFWG-POLLNEAR-1957-2006-MINTO,1980,6,148285,98953,389048,0.5666,,144554
AFWG-POLLNEAR-1957-2006-MINTO,1981,6,142761,86429,468544,0.5602,,175516
AFWG-POLLNEAR-1957-2006-MINTO,1982,6,124371,99348,409825,0.6061,,168034
AFWG-POLLNEAR-1957-2006-MINTO,1983,6,165972,221457,410477,0.5905,,156936
AFWG-POLLNEAR-1957-2006-MINTO,1984,6,151679,169435,331478,0.646,,158786
AFWG-POLLNEAR-1957-2006-MINTO,1985,6,131912,81457,267398,0.5447,,107183
AFWG-POLLNEAR-1957-2006-MINTO,1986,6,97558,66951,284000,0.5376,,70458
AFWG-POLLNEAR-1957-2006-MINTO,1987,6,93950,71685,328866,0.5566,,92391
AFWG-POLLNEAR-1957-2006-MINTO,1988,6,133000,248921,337849,0.681,,114242
AFWG-POLLNEAR-1957-2006-MINTO,1989,6,136542,412751,301864,0.5919,,122310
AFWG-POLLNEAR-1957-2006-MINTO,1990,6,127275,301586,253730,0.5428,,95848
AFWG-POLLNEAR-1957-2006-MINTO,1991,6,130120,220712,358138,0.4324,,107326
AFWG-POLLNEAR-1957-2006-MINTO,1992,6,120832,392109,552920,0.5683,,127516
AFWG-POLLNEAR-1957-2006-MINTO,1993,6,148456,155774,685692,0.4776,,153584
AFWG-POLLNEAR-1957-2006-MINTO,1994,6,252845,196575,654739,0.4893,,146544
AFWG-POLLNEAR-1957-2006-MINTO,1995,6,337951,127223,802355,0.3541,,168378
AFWG-POLLNEAR-1957-2006-MINTO,1996,6,404953,282806,845908,0.2757,,171348
AFWG-POLLNEAR-1957-2006-MINTO,1997,6,399220,138241,862188,0.2291,,143629
AFWG-POLLNEAR-1957-2006-MINTO,1998,6,456961,191374,946566,0.2202,,153327
AFWG-POLLNEAR-1957-2006-MINTO,1999,6,460846,333362,986722,0.2316,,150373
AFWG-POLLNEAR-1957-2006-MINTO,2000,6,536075,114848,1003604,0.1563,,135945
AFWG-POLLNEAR-1957-2006-MINTO,2001,6,598260,143168,1044233,0.172,,136402
AFWG-POLLNEAR-1957-2006-MINTO,2002,6,677333,414480,1155254,0.2013,,155246
AFWG-POLLNEAR-1957-2006-MINTO,2003,6,632580,170027,1036859,0.1773,,159757
AFWG-POLLNEAR-1957-2006-MINTO,2004,6,700138,,1035050,0.1799,,162140
AFWG-POLLNEAR-1957-2006-MINTO,2005,6,622869,,1047550,0.1989,,176678
AFWG-POLLNEAR-1957-2006-MINTO,2006,6,787915,,1309499,0.2238,,212480
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1973,4,13196,50310,,0.17,,4954
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1974,4,13196,297370,,0.28,,6526
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1975,4,21261,489010,,0.27,,11440
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1976,4,38338,181150,,0.22,,15353
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1977,4,45165,52530,,0.27,,19289
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1978,4,39883,32460,,0.33,,19183
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1979,4,30057,135570,,0.5,,15614
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1980,4,22389,93080,,0.41,,13521
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1981,4,18566,23440,,0.28,,7528
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1982,4,15387,29280,,0.35,,6960
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1983,4,11746,500840,,0.23,,5482
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1984,4,27920,175210,,0.15,,7191
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1985,4,37804,287400,,0.12,,7203
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1986,4,49070,207520,,0.09,,7456
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1987,4,57373,210790,,0.08,,7341
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1988,4,63800,65430,,0.09,,8351
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1989,4,62221,109910,,0.06,,6230
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1990,4,60099,88400,,0.05,,4598
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1991,4,57085,572800,,0.04,,3674
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1992,4,73274,187780,,0.03,,3768
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1993,4,82924,270260,,0.04,,6344
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1994,4,90023,238210,,0.05,,8250
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1995,4,94131,258430,,0.06,,9506
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1996,4,96686,57350,,0.06,,11983
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1997,4,89624,183930,,0.1,,16444
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1998,4,81590,403390,,0.1,,15463
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,1999,4,84412,375060,,0.09,,15962
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,2000,4,91040,135180,,0.09,,17062
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,2001,4,88773,103100,,0.11,,18436
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,2002,4,80328,338550,,0.11,,16311
ASMFC-LOBSTERGB-1981-2007-STANTON,1981,4,,,,,,1165
ASMFC-LOBSTERGB-1981-2007-STANTON,1982,4,198,2410,,0.33,,1301
ASMFC-LOBSTERGB-1981-2007-STANTON,1983,4,195,2560,,0.26,,1447
ASMFC-LOBSTERGB-1981-2007-STANTON,1984,4,143,2690,,0.3,,1496
ASMFC-LOBSTERGB-1981-2007-STANTON,1985,4,138,2380,,0.29,,1489
ASMFC-LOBSTERGB-1981-2007-STANTON,1986,4,99,3500,,0.25,,1243
ASMFC-LOBSTERGB-1981-2007-STANTON,1987,4,93,3960,,0.24,,1316
ASMFC-LOBSTERGB-1981-2007-STANTON,1988,4,133,2280,,0.22,,1417
ASMFC-LOBSTERGB-1981-2007-STANTON,1989,4,179,2440,,0.25,,1326
ASMFC-LOBSTERGB-1981-2007-STANTON,1990,4,164,3410,,0.29,,1431
ASMFC-LOBSTERGB-1981-2007-STANTON,1991,4,205,2620,,0.3,,1580
ASMFC-LOBSTERGB-1981-2007-STANTON,1992,4,170,4300,,0.29,,1703
ASMFC-LOBSTERGB-1981-2007-STANTON,1993,4,117,2690,,0.29,,1545
ASMFC-LOBSTERGB-1981-2007-STANTON,1994,4,117,1530,,0.27,,1346
ASMFC-LOBSTERGB-1981-2007-STANTON,1995,4,197,2400,,0.28,,1214
ASMFC-LOBSTERGB-1981-2007-STANTON,1996,4,188,2030,,0.3,,1141
ASMFC-LOBSTERGB-1981-2007-STANTON,1997,4,194,4250,,0.24,,1215
ASMFC-LOBSTERGB-1981-2007-STANTON,1998,4,299,3260,,0.22,,1196
ASMFC-LOBSTERGB-1981-2007-STANTON,1999,4,351,1960,,0.25,,1441
ASMFC-LOBSTERGB-1981-2007-STANTON,2000,4,305,4720,,0.2,,1184
ASMFC-LOBSTERGB-1981-2007-STANTON,2001,4,370,3370,,0.21,,1407
ASMFC-LOBSTERGB-1981-2007-STANTON,2002,4,546,3370,,0.22,,1563
ASMFC-LOBSTERGB-1981-2007-STANTON,2003,4,858,4260,,0.17,,1787
ASMFC-LOBSTERGB-1981-2007-STANTON,2004,4,1210,1590,,0.23,,1979
ASMFC-LOBSTERGB-1981-2007-STANTON,2005,4,1322,2030,,0.24,,2394
ASMFC-LOBSTERGB-1981-2007-STANTON,2006,4,1233,670,,0.35,,2240
ASMFC-LOBSTERGB-1981-2007-STANTON,2007,4,1155,1820,,,,2064
ASMFC-LOBSTERGOM-1981-2007-STANTON,1981,4,,,,,,14777
ASMFC-LOBSTERGOM-1981-2007-STANTON,1982,4,5938,33500,,0.91,,14669
ASMFC-LOBSTERGOM-1981-2007-STANTON,1983,4,4117,38350,,0.66,,15069
ASMFC-LOBSTERGOM-1981-2007-STANTON,1984,4,3671,24130,,0.85,,13797
ASMFC-LOBSTERGOM-1981-2007-STANTON,1985,4,4424,35960,,0.71,,14558
ASMFC-LOBSTERGOM-1981-2007-STANTON,1986,4,3700,30540,,0.66,,13816
ASMFC-LOBSTERGOM-1981-2007-STANTON,1987,4,3417,21530,,0.91,,13952
ASMFC-LOBSTERGOM-1981-2007-STANTON,1988,4,3885,38420,,0.83,,14696
ASMFC-LOBSTERGOM-1981-2007-STANTON,1989,4,4750,45560,,0.75,,16708
ASMFC-LOBSTERGOM-1981-2007-STANTON,1990,4,4807,44410,,0.75,,19245
ASMFC-LOBSTERGOM-1981-2007-STANTON,1991,4,4764,33170,,0.77,,20216
ASMFC-LOBSTERGOM-1981-2007-STANTON,1992,4,5357,37780,,0.75,,17738
ASMFC-LOBSTERGOM-1981-2007-STANTON,1993,4,5002,47180,,0.78,,18802
ASMFC-LOBSTERGOM-1981-2007-STANTON,1994,4,5746,69030,,0.59,,23655
ASMFC-LOBSTERGOM-1981-2007-STANTON,1995,4,5901,45040,,0.54,,22962
