BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1992,Sockeye,Adams,Fraser,South,12.58,19.93,SockeyeAdamsFraserSouth
1993,Sockeye,Adams,Fraser,South,0.62,13.59,SockeyeAdamsFraserSouth
1994,Sockeye,Adams,Fraser,South,984.67,2032.06,SockeyeAdamsFraserSouth
1995,Sockeye,Adams,Fraser,South,399.35,757.35,SockeyeAdamsFraserSouth
1996,Sockeye,Adams,Fraser,South,11.77,41.43,SockeyeAdamsFraserSouth
1997,Sockeye,Adams,Fraser,South,0.98,-1,SockeyeAdamsFraserSouth
1998,Sockeye,Adams,Fraser,South,1080.65,-1,SockeyeAdamsFraserSouth
1950,Sockeye,Birken,Fraser,South,64.44,242.74,SockeyeBirkenFraserSouth
1951,Sockeye,Birken,Fraser,South,21.3,216.72,SockeyeBirkenFraserSouth
1952,Sockeye,Birken,Fraser,South,47.04,244.68,SockeyeBirkenFraserSouth
1953,Sockeye,Birken,Fraser,South,42.49,156.14,SockeyeBirkenFraserSouth
1954,Sockeye,Birken,Fraser,South,18.21,175.7,SockeyeBirkenFraserSouth
1955,Sockeye,Birken,Fraser,South,14.55,280.38,SockeyeBirkenFraserSouth
1956,Sockeye,Birken,Fraser,South,49.75,279.11,SockeyeBirkenFraserSouth
1957,Sockeye,Birken,Fraser,South,14.54,76.36,SockeyeBirkenFraserSouth
1958,Sockeye,Birken,Fraser,South,15.17,129.26,SockeyeBirkenFraserSouth
1959,Sockeye,Birken,Fraser,South,26.16,268.02,SockeyeBirkenFraserSouth
1960,Sockeye,Birken,Fraser,South,36.84,172.1,SockeyeBirkenFraserSouth
1961,Sockeye,Birken,Fraser,South,31.68,129.82,SockeyeBirkenFraserSouth
1962,Sockeye,Birken,Fraser,South,26.37,102.49,SockeyeBirkenFraserSouth
1963,Sockeye,Birken,Fraser,South,48.89,456.08,SockeyeBirkenFraserSouth
1964,Sockeye,Birken,Fraser,South,48.91,365.9,SockeyeBirkenFraserSouth
1965,Sockeye,Birken,Fraser,South,16.23,165.17,SockeyeBirkenFraserSouth
1966,Sockeye,Birken,Fraser,South,20.12,316.86,SockeyeBirkenFraserSouth
1967,Sockeye,Birken,Fraser,South,39.88,492.41,SockeyeBirkenFraserSouth
1968,Sockeye,Birken,Fraser,South,57.95,285.21,SockeyeBirkenFraserSouth
1969,Sockeye,Birken,Fraser,South,37.38,791.87,SockeyeBirkenFraserSouth
1970,Sockeye,Birken,Fraser,South,30.66,738.9,SockeyeBirkenFraserSouth
1971,Sockeye,Birken,Fraser,South,24.63,368.55,SockeyeBirkenFraserSouth
1972,Sockeye,Birken,Fraser,South,54.52,515.31,SockeyeBirkenFraserSouth
1973,Sockeye,Birken,Fraser,South,56.65,328.39,SockeyeBirkenFraserSouth
1974,Sockeye,Birken,Fraser,South,119.64,923.26,SockeyeBirkenFraserSouth
1975,Sockeye,Birken,Fraser,South,61.54,123.58,SockeyeBirkenFraserSouth
1976,Sockeye,Birken,Fraser,South,77.31,631.45,SockeyeBirkenFraserSouth
1977,Sockeye,Birken,Fraser,South,23.85,431.31,SockeyeBirkenFraserSouth
1978,Sockeye,Birken,Fraser,South,94.78,664.87,SockeyeBirkenFraserSouth
1979,Sockeye,Birken,Fraser,South,60.99,415.25,SockeyeBirkenFraserSouth
1980,Sockeye,Birken,Fraser,South,78.61,162.47,SockeyeBirkenFraserSouth
1981,Sockeye,Birken,Fraser,South,49.02,265.89,SockeyeBirkenFraserSouth
1982,Sockeye,Birken,Fraser,South,119.74,1816.43,SockeyeBirkenFraserSouth
1983,Sockeye,Birken,Fraser,South,44.03,808.11,SockeyeBirkenFraserSouth
1984,Sockeye,Birken,Fraser,South,40.25,470.36,SockeyeBirkenFraserSouth
1985,Sockeye,Birken,Fraser,South,11.91,245.84,SockeyeBirkenFraserSouth
1986,Sockeye,Birken,Fraser,South,335.63,1211.97,SockeyeBirkenFraserSouth
1987,Sockeye,Birken,Fraser,South,164.85,999.9,SockeyeBirkenFraserSouth
1988,Sockeye,Birken,Fraser,South,166.59,927.72,SockeyeBirkenFraserSouth
1989,Sockeye,Birken,Fraser,South,29.33,1147.93,SockeyeBirkenFraserSouth
1990,Sockeye,Birken,Fraser,South,166.77,238.19,SockeyeBirkenFraserSouth
1991,Sockeye,Birken,Fraser,South,293.63,128.89,SockeyeBirkenFraserSouth
1992,Sockeye,Birken,Fraser,South,185.91,116.23,SockeyeBirkenFraserSouth
1993,Sockeye,Birken,Fraser,South,244.95,580,SockeyeBirkenFraserSouth
1994,Sockeye,Birken,Fraser,South,39.23,68.17,SockeyeBirkenFraserSouth
1995,Sockeye,Birken,Fraser,South,38.59,154.01,SockeyeBirkenFraserSouth
1996,Sockeye,Birken,Fraser,South,56.04,76.01,SockeyeBirkenFraserSouth
1997,Sockeye,Birken,Fraser,South,50.2,-1,SockeyeBirkenFraserSouth
1998,Sockeye,Birken,Fraser,South,295.67,-1,SockeyeBirkenFraserSouth
1950,Sockeye,Bowron,Fraser,South,16.15,75.55,SockeyeBowronFraserSouth
1951,Sockeye,Bowron,Fraser,South,21.73,103.82,SockeyeBowronFraserSouth
1952,Sockeye,Bowron,Fraser,South,18.65,43.3,SockeyeBowronFraserSouth
1953,Sockeye,Bowron,Fraser,South,13.28,75.58,SockeyeBowronFraserSouth
1954,Sockeye,Bowron,Fraser,South,10.52,66.92,SockeyeBowronFraserSouth
1955,Sockeye,Bowron,Fraser,South,9.35,96.96,SockeyeBowronFraserSouth
1956,Sockeye,Bowron,Fraser,South,6.99,38.48,SockeyeBowronFraserSouth
1957,Sockeye,Bowron,Fraser,South,12.01,41.97,SockeyeBowronFraserSouth
1958,Sockeye,Bowron,Fraser,South,14.84,18.16,SockeyeBowronFraserSouth
1959,Sockeye,Bowron,Fraser,South,29.25,61.87,SockeyeBowronFraserSouth
1960,Sockeye,Bowron,Fraser,South,7.62,17.73,SockeyeBowronFraserSouth
1961,Sockeye,Bowron,Fraser,South,7.45,28.15,SockeyeBowronFraserSouth
1962,Sockeye,Bowron,Fraser,South,6.29,21.33,SockeyeBowronFraserSouth
