BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1964,Sockeye,Black,Chignik,North,137.07,755.73,SockeyeBlackChignikNorth
1965,Sockeye,Black,Chignik,North,307.19,1948.14,SockeyeBlackChignikNorth
1966,Sockeye,Black,Chignik,North,383.55,1303.46,SockeyeBlackChignikNorth
1967,Sockeye,Black,Chignik,North,328,236.05,SockeyeBlackChignikNorth
1968,Sockeye,Black,Chignik,North,342.34,1156.64,SockeyeBlackChignikNorth
1969,Sockeye,Black,Chignik,North,366.59,443.76,SockeyeBlackChignikNorth
1970,Sockeye,Black,Chignik,North,536.26,421.93,SockeyeBlackChignikNorth
1971,Sockeye,Black,Chignik,North,671.67,1356.03,SockeyeBlackChignikNorth
1972,Sockeye,Black,Chignik,North,326.32,1071.08,SockeyeBlackChignikNorth
1973,Sockeye,Black,Chignik,North,533.05,1223.11,SockeyeBlackChignikNorth
1974,Sockeye,Black,Chignik,North,351.7,601.26,SockeyeBlackChignikNorth
1975,Sockeye,Black,Chignik,North,308.91,601.14,SockeyeBlackChignikNorth
1976,Sockeye,Black,Chignik,North,551.25,886.86,SockeyeBlackChignikNorth
1977,Sockeye,Black,Chignik,North,482.25,2154.57,SockeyeBlackChignikNorth
1978,Sockeye,Black,Chignik,North,458.66,945.34,SockeyeBlackChignikNorth
1979,Sockeye,Black,Chignik,North,385.69,3862.94,SockeyeBlackChignikNorth
1980,Sockeye,Black,Chignik,North,311.33,1767.21,SockeyeBlackChignikNorth
1981,Sockeye,Black,Chignik,North,438.54,1844.58,SockeyeBlackChignikNorth
1982,Sockeye,Black,Chignik,North,616.12,2331.78,SockeyeBlackChignikNorth
1983,Sockeye,Black,Chignik,North,426.18,565.77,SockeyeBlackChignikNorth
1984,Sockeye,Black,Chignik,North,597.71,637.2,SockeyeBlackChignikNorth
1985,Sockeye,Black,Chignik,North,377.52,773.79,SockeyeBlackChignikNorth
1986,Sockeye,Black,Chignik,North,566.09,2523.14,SockeyeBlackChignikNorth
1987,Sockeye,Black,Chignik,North,589.29,1436.89,SockeyeBlackChignikNorth
1988,Sockeye,Black,Chignik,North,420.58,1658.36,SockeyeBlackChignikNorth
1989,Sockeye,Black,Chignik,North,384,1703.79,SockeyeBlackChignikNorth
1990,Sockeye,Black,Chignik,North,434.54,1511.94,SockeyeBlackChignikNorth
1991,Sockeye,Black,Chignik,North,657.51,1476.02,SockeyeBlackChignikNorth
1992,Sockeye,Black,Chignik,North,360.68,927.63,SockeyeBlackChignikNorth
1993,Sockeye,Black,Chignik,North,364.26,904.37,SockeyeBlackChignikNorth
1994,Sockeye,Black,Chignik,North,766.91,-1,SockeyeBlackChignikNorth
1995,Sockeye,Black,Chignik,North,366.16,-1,SockeyeBlackChignikNorth
1996,Sockeye,Black,Chignik,North,450.73,-1,SockeyeBlackChignikNorth
1950,Sockeye,Chignik,Chignik,North,861.07,494.55,SockeyeChignikChignikNorth
1951,Sockeye,Chignik,Chignik,North,490.9,915.71,SockeyeChignikChignikNorth
1952,Sockeye,Chignik,Chignik,North,260.54,554.68,SockeyeChignikChignikNorth
1953,Sockeye,Chignik,Chignik,North,221.41,573.02,SockeyeChignikChignikNorth
1954,Sockeye,Chignik,Chignik,North,277.91,545.16,SockeyeChignikChignikNorth
1955,Sockeye,Chignik,Chignik,North,201.41,733.83,SockeyeChignikChignikNorth
1956,Sockeye,Chignik,Chignik,North,483.02,384.02,SockeyeChignikChignikNorth
1957,Sockeye,Chignik,Chignik,North,328.78,697.86,SockeyeChignikChignikNorth
1958,Sockeye,Chignik,Chignik,North,212.59,635.56,SockeyeChignikChignikNorth
1959,Sockeye,Chignik,Chignik,North,308.65,412.8,SockeyeChignikChignikNorth
1960,Sockeye,Chignik,Chignik,North,357.23,382.42,SockeyeChignikChignikNorth
1961,Sockeye,Chignik,Chignik,North,254.97,544.46,SockeyeChignikChignikNorth
1962,Sockeye,Chignik,Chignik,North,324.86,813.69,SockeyeChignikChignikNorth
1963,Sockeye,Chignik,Chignik,North,200.31,424.89,SockeyeChignikChignikNorth
1964,Sockeye,Chignik,Chignik,North,166.63,248.01,SockeyeChignikChignikNorth
1965,Sockeye,Chignik,Chignik,North,163.15,997.76,SockeyeChignikChignikNorth
1966,Sockeye,Chignik,Chignik,North,183.53,782.97,SockeyeChignikChignikNorth
1967,Sockeye,Chignik,Chignik,North,189,604.22,SockeyeChignikChignikNorth
1968,Sockeye,Chignik,Chignik,North,244.84,773.56,SockeyeChignikChignikNorth
1969,Sockeye,Chignik,Chignik,North,132.06,870.96,SockeyeChignikChignikNorth
1970,Sockeye,Chignik,Chignik,North,119.95,703.67,SockeyeChignikChignikNorth
1971,Sockeye,Chignik,Chignik,North,232.5,2545.16,SockeyeChignikChignikNorth
1972,Sockeye,Chignik,Chignik,North,231.27,1002.68,SockeyeChignikChignikNorth
1973,Sockeye,Chignik,Chignik,North,247.14,1175.92,SockeyeChignikChignikNorth
1974,Sockeye,Chignik,Chignik,North,364.61,1022.92,SockeyeChignikChignikNorth
1975,Sockeye,Chignik,Chignik,North,314.08,1221.21,SockeyeChignikChignikNorth
1976,Sockeye,Chignik,Chignik,North,341.83,1441.59,SockeyeChignikChignikNorth
1977,Sockeye,Chignik,Chignik,North,463.56,1492.36,SockeyeChignikChignikNorth
1978,Sockeye,Chignik,Chignik,North,263.01,883.47,SockeyeChignikChignikNorth
1979,Sockeye,Chignik,Chignik,North,317.89,705.45,SockeyeChignikChignikNorth
1980,Sockeye,Chignik,Chignik,North,279.73,962.1,SockeyeChignikChignikNorth
1981,Sockeye,Chignik,Chignik,North,301.09,773.51,SockeyeChignikChignikNorth
1982,Sockeye,Chignik,Chignik,North,305.19,945.67,SockeyeChignikChignikNorth
1983,Sockeye,Chignik,Chignik,North,441.56,1394.83,SockeyeChignikChignikNorth
1984,Sockeye,Chignik,Chignik,North,268.5,2177.44,SockeyeChignikChignikNorth
1985,Sockeye,Chignik,Chignik,North,369.26,890.04,SockeyeChignikChignikNorth
1986,Sockeye,Chignik,Chignik,North,207.23,1240.14,SockeyeChignikChignikNorth
1987,Sockeye,Chignik,Chignik,North,214.45,1902.34,SockeyeChignikChignikNorth
1988,Sockeye,Chignik,Chignik,North,255.18,702.69,SockeyeChignikChignikNorth
1989,Sockeye,Chignik,Chignik,North,557.17,1886.49,SockeyeChignikChignikNorth
1990,Sockeye,Chignik,Chignik,North,335.87,1074.42,SockeyeChignikChignikNorth
1991,Sockeye,Chignik,Chignik,North,382.59,1012.95,SockeyeChignikChignikNorth
1992,Sockeye,Chignik,Chignik,North,405.92,1139.56,SockeyeChignikChignikNorth
1993,Sockeye,Chignik,Chignik,North,333.11,1564.8,SockeyeChignikChignikNorth
1994,Sockeye,Chignik,Chignik,North,197.45,-1,SockeyeChignikChignikNorth
1995,Sockeye,Chignik,Chignik,North,373.76,-1,SockeyeChignikChignikNorth
1996,Sockeye,Chignik,Chignik,North,284.39,-1,SockeyeChignikChignikNorth
1956,Sockeye,Branch,Bristol Bay,North,784,2390,SockeyeBranchBristol BayNorth
1957,Sockeye,Branch,Bristol Bay,North,127,85,SockeyeBranchBristol BayNorth
1958,Sockeye,Branch,Bristol Bay,North,95,147,SockeyeBranchBristol BayNorth
1959,Sockeye,Branch,Bristol Bay,North,825,768,SockeyeBranchBristol BayNorth
1960,Sockeye,Branch,Bristol Bay,North,1241,456,SockeyeBranchBristol BayNorth
1961,Sockeye,Branch,Bristol Bay,North,90,292,SockeyeBranchBristol BayNorth
1962,Sockeye,Branch,Bristol Bay,North,91,262,SockeyeBranchBristol BayNorth
1963,Sockeye,Branch,Bristol Bay,North,203,376,SockeyeBranchBristol BayNorth
1964,Sockeye,Branch,Bristol Bay,North,249,336,SockeyeBranchBristol BayNorth
1965,Sockeye,Branch,Bristol Bay,North,175,299,SockeyeBranchBristol BayNorth
1966,Sockeye,Branch,Bristol Bay,North,174,581,SockeyeBranchBristol BayNorth
1967,Sockeye,Branch,Bristol Bay,North,203,413,SockeyeBranchBristol BayNorth
1968,Sockeye,Branch,Bristol Bay,North,194,180,SockeyeBranchBristol BayNorth
1969,Sockeye,Branch,Bristol Bay,North,182,190,SockeyeBranchBristol BayNorth
1970,Sockeye,Branch,Bristol Bay,North,177,152,SockeyeBranchBristol BayNorth
1971,Sockeye,Branch,Bristol Bay,North,187,126,SockeyeBranchBristol BayNorth
1972,Sockeye,Branch,Bristol Bay,North,151,130,SockeyeBranchBristol BayNorth
1973,Sockeye,Branch,Bristol Bay,North,35,248,SockeyeBranchBristol BayNorth
1974,Sockeye,Branch,Bristol Bay,North,215,456,SockeyeBranchBristol BayNorth
1975,Sockeye,Branch,Bristol Bay,North,100,775,SockeyeBranchBristol BayNorth
1976,Sockeye,Branch,Bristol Bay,North,82,481,SockeyeBranchBristol BayNorth
1977,Sockeye,Branch,Bristol Bay,North,100,881,SockeyeBranchBristol BayNorth
1978,Sockeye,Branch,Bristol Bay,North,229,358,SockeyeBranchBristol BayNorth
1979,Sockeye,Branch,Bristol Bay,North,294,799,SockeyeBranchBristol BayNorth
1980,Sockeye,Branch,Bristol Bay,North,298,339,SockeyeBranchBristol BayNorth
1981,Sockeye,Branch,Bristol Bay,North,82,291,SockeyeBranchBristol BayNorth
1982,Sockeye,Branch,Bristol Bay,North,239,322,SockeyeBranchBristol BayNorth
1983,Sockeye,Branch,Bristol Bay,North,96,316,SockeyeBranchBristol BayNorth
1984,Sockeye,Branch,Bristol Bay,North,215,372,SockeyeBranchBristol BayNorth
1985,Sockeye,Branch,Bristol Bay,North,118,573,SockeyeBranchBristol BayNorth
1986,Sockeye,Branch,Bristol Bay,North,230,818,SockeyeBranchBristol BayNorth
1987,Sockeye,Branch,Bristol Bay,North,154,582,SockeyeBranchBristol BayNorth
1988,Sockeye,Branch,Bristol Bay,North,195,622,SockeyeBranchBristol BayNorth
1989,Sockeye,Branch,Bristol Bay,North,197,723.11,SockeyeBranchBristol BayNorth
1990,Sockeye,Branch,Bristol Bay,North,169,956.62,SockeyeBranchBristol BayNorth
1991,Sockeye,Branch,Bristol Bay,North,278,594.48,SockeyeBranchBristol BayNorth
1992,Sockeye,Branch,Bristol Bay,North,225,247,SockeyeBranchBristol BayNorth
1993,Sockeye,Branch,Bristol Bay,North,348,420,SockeyeBranchBristol BayNorth
1994,Sockeye,Branch,Bristol Bay,North,243,519,SockeyeBranchBristol BayNorth
1995,Sockeye,Branch,Bristol Bay,North,216,1068,SockeyeBranchBristol BayNorth
1996,Sockeye,Branch,Bristol Bay,North,307,-1,SockeyeBranchBristol BayNorth
1997,Sockeye,Branch,Bristol Bay,North,218,-1,SockeyeBranchBristol BayNorth
1998,Sockeye,Branch,Bristol Bay,North,252,-1,SockeyeBranchBristol BayNorth
1956,Sockeye,Egegik,Bristol Bay,North,1104,6834,SockeyeEgegikBristol BayNorth
1957,Sockeye,Egegik,Bristol Bay,North,391,2173,SockeyeEgegikBristol BayNorth
1958,Sockeye,Egegik,Bristol Bay,North,246,1258,SockeyeEgegikBristol BayNorth
1959,Sockeye,Egegik,Bristol Bay,North,1072,1757,SockeyeEgegikBristol BayNorth
1960,Sockeye,Egegik,Bristol Bay,North,1799,7861,SockeyeEgegikBristol BayNorth
1961,Sockeye,Egegik,Bristol Bay,North,702,1580,SockeyeEgegikBristol BayNorth
1962,Sockeye,Egegik,Bristol Bay,North,1027,1444,SockeyeEgegikBristol BayNorth
1963,Sockeye,Egegik,Bristol Bay,North,998,1251,SockeyeEgegikBristol BayNorth
1964,Sockeye,Egegik,Bristol Bay,North,850,1972,SockeyeEgegikBristol BayNorth
1965,Sockeye,Egegik,Bristol Bay,North,1445,3082,SockeyeEgegikBristol BayNorth
1966,Sockeye,Egegik,Bristol Bay,North,804,2501,SockeyeEgegikBristol BayNorth
1967,Sockeye,Egegik,Bristol Bay,North,637,1609,SockeyeEgegikBristol BayNorth
1968,Sockeye,Egegik,Bristol Bay,North,339,445,SockeyeEgegikBristol BayNorth
1969,Sockeye,Egegik,Bristol Bay,North,1016,2640,SockeyeEgegikBristol BayNorth
1970,Sockeye,Egegik,Bristol Bay,North,920,1215,SockeyeEgegikBristol BayNorth
1971,Sockeye,Egegik,Bristol Bay,North,634,2677,SockeyeEgegikBristol BayNorth
1972,Sockeye,Egegik,Bristol Bay,North,546,2941,SockeyeEgegikBristol BayNorth
1973,Sockeye,Egegik,Bristol Bay,North,329,1675,SockeyeEgegikBristol BayNorth
1974,Sockeye,Egegik,Bristol Bay,North,1276,3022,SockeyeEgegikBristol BayNorth
1975,Sockeye,Egegik,Bristol Bay,North,1174,3660,SockeyeEgegikBristol BayNorth
1976,Sockeye,Egegik,Bristol Bay,North,509,5317,SockeyeEgegikBristol BayNorth
1977,Sockeye,Egegik,Bristol Bay,North,693,4204,SockeyeEgegikBristol BayNorth
1978,Sockeye,Egegik,Bristol Bay,North,896,9196,SockeyeEgegikBristol BayNorth
1979,Sockeye,Egegik,Bristol Bay,North,1032,5946,SockeyeEgegikBristol BayNorth
1980,Sockeye,Egegik,Bristol Bay,North,1061,8574,SockeyeEgegikBristol BayNorth
1981,Sockeye,Egegik,Bristol Bay,North,695,6309,SockeyeEgegikBristol BayNorth
1982,Sockeye,Egegik,Bristol Bay,North,1035,6336,SockeyeEgegikBristol BayNorth
1983,Sockeye,Egegik,Bristol Bay,North,792,10607,SockeyeEgegikBristol BayNorth
1984,Sockeye,Egegik,Bristol Bay,North,1165,13476,SockeyeEgegikBristol BayNorth
1985,Sockeye,Egegik,Bristol Bay,North,1095,7653,SockeyeEgegikBristol BayNorth
1986,Sockeye,Egegik,Bristol Bay,North,1152,14214,SockeyeEgegikBristol BayNorth
1987,Sockeye,Egegik,Bristol Bay,North,1274,25863,SockeyeEgegikBristol BayNorth
1988,Sockeye,Egegik,Bristol Bay,North,1613,18730,SockeyeEgegikBristol BayNorth
1989,Sockeye,Egegik,Bristol Bay,North,1612,11229,SockeyeEgegikBristol BayNorth
1990,Sockeye,Egegik,Bristol Bay,North,2192,15682,SockeyeEgegikBristol BayNorth
1991,Sockeye,Egegik,Bristol Bay,North,2787,11152,SockeyeEgegikBristol BayNorth
1992,Sockeye,Egegik,Bristol Bay,North,1946,9667,SockeyeEgegikBristol BayNorth
1993,Sockeye,Egegik,Bristol Bay,North,1517,3002,SockeyeEgegikBristol BayNorth
1994,Sockeye,Egegik,Bristol Bay,North,1898,8742,SockeyeEgegikBristol BayNorth
1995,Sockeye,Egegik,Bristol Bay,North,1267,9471,SockeyeEgegikBristol BayNorth
1996,Sockeye,Egegik,Bristol Bay,North,1076,-1,SockeyeEgegikBristol BayNorth
1997,Sockeye,Egegik,Bristol Bay,North,1104,-1,SockeyeEgegikBristol BayNorth
1998,Sockeye,Egegik,Bristol Bay,North,1111,-1,SockeyeEgegikBristol BayNorth
1956,Sockeye,Igushik,Bristol Bay,North,400,743,SockeyeIgushikBristol BayNorth
1957,Sockeye,Igushik,Bristol Bay,North,130,76,SockeyeIgushikBristol BayNorth
1958,Sockeye,Igushik,Bristol Bay,North,107,133,SockeyeIgushikBristol BayNorth
1959,Sockeye,Igushik,Bristol Bay,North,644,372,SockeyeIgushikBristol BayNorth
1960,Sockeye,Igushik,Bristol Bay,North,495,474,SockeyeIgushikBristol BayNorth
1961,Sockeye,Igushik,Bristol Bay,North,294,437,SockeyeIgushikBristol BayNorth
1962,Sockeye,Igushik,Bristol Bay,North,16,327,SockeyeIgushikBristol BayNorth
1963,Sockeye,Igushik,Bristol Bay,North,92,508,SockeyeIgushikBristol BayNorth
1964,Sockeye,Igushik,Bristol Bay,North,129,930,SockeyeIgushikBristol BayNorth
1965,Sockeye,Igushik,Bristol Bay,North,181,1089,SockeyeIgushikBristol BayNorth
1966,Sockeye,Igushik,Bristol Bay,North,206,470,SockeyeIgushikBristol BayNorth
1967,Sockeye,Igushik,Bristol Bay,North,282,175,SockeyeIgushikBristol BayNorth
1968,Sockeye,Igushik,Bristol Bay,North,195,176,SockeyeIgushikBristol BayNorth
1969,Sockeye,Igushik,Bristol Bay,North,512,536,SockeyeIgushikBristol BayNorth
1970,Sockeye,Igushik,Bristol Bay,North,371,309,SockeyeIgushikBristol BayNorth
1971,Sockeye,Igushik,Bristol Bay,North,211,303,SockeyeIgushikBristol BayNorth
1972,Sockeye,Igushik,Bristol Bay,North,60,229,SockeyeIgushikBristol BayNorth
1973,Sockeye,Igushik,Bristol Bay,North,60,725,SockeyeIgushikBristol BayNorth
1974,Sockeye,Igushik,Bristol Bay,North,359,1574,SockeyeIgushikBristol BayNorth
1975,Sockeye,Igushik,Bristol Bay,North,241,3981,SockeyeIgushikBristol BayNorth
1976,Sockeye,Igushik,Bristol Bay,North,186,2394,SockeyeIgushikBristol BayNorth
1977,Sockeye,Igushik,Bristol Bay,North,96,2015,SockeyeIgushikBristol BayNorth
1978,Sockeye,Igushik,Bristol Bay,North,536,527,SockeyeIgushikBristol BayNorth
1979,Sockeye,Igushik,Bristol Bay,North,860,847,SockeyeIgushikBristol BayNorth
1980,Sockeye,Igushik,Bristol Bay,North,1988,373,SockeyeIgushikBristol BayNorth
1981,Sockeye,Igushik,Bristol Bay,North,591,1025,SockeyeIgushikBristol BayNorth
1982,Sockeye,Igushik,Bristol Bay,North,424,518,SockeyeIgushikBristol BayNorth
1983,Sockeye,Igushik,Bristol Bay,North,180,544,SockeyeIgushikBristol BayNorth
1984,Sockeye,Igushik,Bristol Bay,North,185,779,SockeyeIgushikBristol BayNorth
1985,Sockeye,Igushik,Bristol Bay,North,212,1629,SockeyeIgushikBristol BayNorth
1986,Sockeye,Igushik,Bristol Bay,North,308,2606,SockeyeIgushikBristol BayNorth
1987,Sockeye,Igushik,Bristol Bay,North,169,830,SockeyeIgushikBristol BayNorth
1988,Sockeye,Igushik,Bristol Bay,North,170,1344,SockeyeIgushikBristol BayNorth
1989,Sockeye,Igushik,Bristol Bay,North,462,1770,SockeyeIgushikBristol BayNorth
1990,Sockeye,Igushik,Bristol Bay,North,366,1911.49,SockeyeIgushikBristol BayNorth
1991,Sockeye,Igushik,Bristol Bay,North,756,1679.88,SockeyeIgushikBristol BayNorth
1992,Sockeye,Igushik,Bristol Bay,North,305,228,SockeyeIgushikBristol BayNorth
1993,Sockeye,Igushik,Bristol Bay,North,406,512,SockeyeIgushikBristol BayNorth
1994,Sockeye,Igushik,Bristol Bay,North,446,1203,SockeyeIgushikBristol BayNorth
1995,Sockeye,Igushik,Bristol Bay,North,473,2301,SockeyeIgushikBristol BayNorth
1996,Sockeye,Igushik,Bristol Bay,North,401,-1,SockeyeIgushikBristol BayNorth
1997,Sockeye,Igushik,Bristol Bay,North,128,-1,SockeyeIgushikBristol BayNorth
1998,Sockeye,Igushik,Bristol Bay,North,216,-1,SockeyeIgushikBristol BayNorth
1956,Sockeye,Kvichak,Bristol Bay,North,9443,39036,SockeyeKvichakBristol BayNorth
1957,Sockeye,Kvichak,Bristol Bay,North,2843,4091,SockeyeKvichakBristol BayNorth
1958,Sockeye,Kvichak,Bristol Bay,North,535,289,SockeyeKvichakBristol BayNorth
1959,Sockeye,Kvichak,Bristol Bay,North,680,547,SockeyeKvichakBristol BayNorth
1960,Sockeye,Kvichak,Bristol Bay,North,14630,55259,SockeyeKvichakBristol BayNorth
1961,Sockeye,Kvichak,Bristol Bay,North,3706,3503,SockeyeKvichakBristol BayNorth
1962,Sockeye,Kvichak,Bristol Bay,North,2581,5357,SockeyeKvichakBristol BayNorth
1963,Sockeye,Kvichak,Bristol Bay,North,339,1120,SockeyeKvichakBristol BayNorth
1964,Sockeye,Kvichak,Bristol Bay,North,957,5751,SockeyeKvichakBristol BayNorth
1965,Sockeye,Kvichak,Bristol Bay,North,24326,45026,SockeyeKvichakBristol BayNorth
1966,Sockeye,Kvichak,Bristol Bay,North,3775,6262,SockeyeKvichakBristol BayNorth
1967,Sockeye,Kvichak,Bristol Bay,North,3216,1527,SockeyeKvichakBristol BayNorth
1968,Sockeye,Kvichak,Bristol Bay,North,2557,543,SockeyeKvichakBristol BayNorth
1969,Sockeye,Kvichak,Bristol Bay,North,8394,5304,SockeyeKvichakBristol BayNorth
1970,Sockeye,Kvichak,Bristol Bay,North,13935,15834,SockeyeKvichakBristol BayNorth
1971,Sockeye,Kvichak,Bristol Bay,North,2387,2829,SockeyeKvichakBristol BayNorth
1972,Sockeye,Kvichak,Bristol Bay,North,1010,1941,SockeyeKvichakBristol BayNorth
1973,Sockeye,Kvichak,Bristol Bay,North,227,2457,SockeyeKvichakBristol BayNorth
1974,Sockeye,Kvichak,Bristol Bay,North,4434,26179,SockeyeKvichakBristol BayNorth
1975,Sockeye,Kvichak,Bristol Bay,North,13140,38087,SockeyeKvichakBristol BayNorth
1976,Sockeye,Kvichak,Bristol Bay,North,1965,10575,SockeyeKvichakBristol BayNorth
1977,Sockeye,Kvichak,Bristol Bay,North,1341,3238,SockeyeKvichakBristol BayNorth
1978,Sockeye,Kvichak,Bristol Bay,North,4149,5160,SockeyeKvichakBristol BayNorth
1979,Sockeye,Kvichak,Bristol Bay,North,11218,42142,SockeyeKvichakBristol BayNorth
1980,Sockeye,Kvichak,Bristol Bay,North,22505,13048,SockeyeKvichakBristol BayNorth
1981,Sockeye,Kvichak,Bristol Bay,North,1754,2129,SockeyeKvichakBristol BayNorth
1982,Sockeye,Kvichak,Bristol Bay,North,1135,1685,SockeyeKvichakBristol BayNorth
1983,Sockeye,Kvichak,Bristol Bay,North,3570,13392,SockeyeKvichakBristol BayNorth
1984,Sockeye,Kvichak,Bristol Bay,North,10491,23913,SockeyeKvichakBristol BayNorth
1985,Sockeye,Kvichak,Bristol Bay,North,7211,17337,SockeyeKvichakBristol BayNorth
1986,Sockeye,Kvichak,Bristol Bay,North,1179,4563,SockeyeKvichakBristol BayNorth
1987,Sockeye,Kvichak,Bristol Bay,North,6066,12030,SockeyeKvichakBristol BayNorth
1988,Sockeye,Kvichak,Bristol Bay,North,4065,9929,SockeyeKvichakBristol BayNorth
1989,Sockeye,Kvichak,Bristol Bay,North,8318,26134.55,SockeyeKvichakBristol BayNorth
1990,Sockeye,Kvichak,Bristol Bay,North,6970,25255.02,SockeyeKvichakBristol BayNorth
1991,Sockeye,Kvichak,Bristol Bay,North,4223,4843.54,SockeyeKvichakBristol BayNorth
1992,Sockeye,Kvichak,Bristol Bay,North,4726,1402,SockeyeKvichakBristol BayNorth
1993,Sockeye,Kvichak,Bristol Bay,North,4025,2967,SockeyeKvichakBristol BayNorth
1994,Sockeye,Kvichak,Bristol Bay,North,8338,7076,SockeyeKvichakBristol BayNorth
1995,Sockeye,Kvichak,Bristol Bay,North,10039,10244,SockeyeKvichakBristol BayNorth
1996,Sockeye,Kvichak,Bristol Bay,North,1451,-1,SockeyeKvichakBristol BayNorth
1997,Sockeye,Kvichak,Bristol Bay,North,1504,-1,SockeyeKvichakBristol BayNorth
1998,Sockeye,Kvichak,Bristol Bay,North,2296,-1,SockeyeKvichakBristol BayNorth
1956,Sockeye,Naknek,Bristol Bay,North,1773,2501,SockeyeNaknekBristol BayNorth
1957,Sockeye,Naknek,Bristol Bay,North,635,1571,SockeyeNaknekBristol BayNorth
1958,Sockeye,Naknek,Bristol Bay,North,278,1040,SockeyeNaknekBristol BayNorth
1959,Sockeye,Naknek,Bristol Bay,North,2232,2155,SockeyeNaknekBristol BayNorth
1960,Sockeye,Naknek,Bristol Bay,North,828,4023,SockeyeNaknekBristol BayNorth
1961,Sockeye,Naknek,Bristol Bay,North,351,1953,SockeyeNaknekBristol BayNorth
1962,Sockeye,Naknek,Bristol Bay,North,723,1074,SockeyeNaknekBristol BayNorth
1963,Sockeye,Naknek,Bristol Bay,North,905,2003,SockeyeNaknekBristol BayNorth
1964,Sockeye,Naknek,Bristol Bay,North,1350,2061,SockeyeNaknekBristol BayNorth
1965,Sockeye,Naknek,Bristol Bay,North,718,2121,SockeyeNaknekBristol BayNorth
1966,Sockeye,Naknek,Bristol Bay,North,1016,3837,SockeyeNaknekBristol BayNorth
1967,Sockeye,Naknek,Bristol Bay,North,756,1716,SockeyeNaknekBristol BayNorth
1968,Sockeye,Naknek,Bristol Bay,North,1023,745,SockeyeNaknekBristol BayNorth
1969,Sockeye,Naknek,Bristol Bay,North,1331,2552,SockeyeNaknekBristol BayNorth
1970,Sockeye,Naknek,Bristol Bay,North,733,2718,SockeyeNaknekBristol BayNorth
1971,Sockeye,Naknek,Bristol Bay,North,936,4274,SockeyeNaknekBristol BayNorth
1972,Sockeye,Naknek,Bristol Bay,North,587,1264,SockeyeNaknekBristol BayNorth
1973,Sockeye,Naknek,Bristol Bay,North,357,2235,SockeyeNaknekBristol BayNorth
1974,Sockeye,Naknek,Bristol Bay,North,1241,2285,SockeyeNaknekBristol BayNorth
1975,Sockeye,Naknek,Bristol Bay,North,2027,5226,SockeyeNaknekBristol BayNorth
1976,Sockeye,Naknek,Bristol Bay,North,1321,8256,SockeyeNaknekBristol BayNorth
1977,Sockeye,Naknek,Bristol Bay,North,1086,3493,SockeyeNaknekBristol BayNorth
1978,Sockeye,Naknek,Bristol Bay,North,813,3694,SockeyeNaknekBristol BayNorth
1979,Sockeye,Naknek,Bristol Bay,North,925,4637,SockeyeNaknekBristol BayNorth
1980,Sockeye,Naknek,Bristol Bay,North,2645,4274,SockeyeNaknekBristol BayNorth
1981,Sockeye,Naknek,Bristol Bay,North,1796,4788,SockeyeNaknekBristol BayNorth
1982,Sockeye,Naknek,Bristol Bay,North,1156,2043,SockeyeNaknekBristol BayNorth
1983,Sockeye,Naknek,Bristol Bay,North,888,1477,SockeyeNaknekBristol BayNorth
1984,Sockeye,Naknek,Bristol Bay,North,1242,4448,SockeyeNaknekBristol BayNorth
1985,Sockeye,Naknek,Bristol Bay,North,1850,7024,SockeyeNaknekBristol BayNorth
1986,Sockeye,Naknek,Bristol Bay,North,1978,13707,SockeyeNaknekBristol BayNorth
1987,Sockeye,Naknek,Bristol Bay,North,1062,5510,SockeyeNaknekBristol BayNorth
1988,Sockeye,Naknek,Bristol Bay,North,1038,2173,SockeyeNaknekBristol BayNorth
1989,Sockeye,Naknek,Bristol Bay,North,1162,2881.08,SockeyeNaknekBristol BayNorth
1990,Sockeye,Naknek,Bristol Bay,North,2093,4343.39,SockeyeNaknekBristol BayNorth
1991,Sockeye,Naknek,Bristol Bay,North,3579,6388.29,SockeyeNaknekBristol BayNorth
1992,Sockeye,Naknek,Bristol Bay,North,1607,1456,SockeyeNaknekBristol BayNorth
1993,Sockeye,Naknek,Bristol Bay,North,1536,2824,SockeyeNaknekBristol BayNorth
1994,Sockeye,Naknek,Bristol Bay,North,991,2245,SockeyeNaknekBristol BayNorth
1995,Sockeye,Naknek,Bristol Bay,North,1111,6480,SockeyeNaknekBristol BayNorth
1996,Sockeye,Naknek,Bristol Bay,North,1078,-1,SockeyeNaknekBristol BayNorth
1997,Sockeye,Naknek,Bristol Bay,North,1026,-1,SockeyeNaknekBristol BayNorth
1998,Sockeye,Naknek,Bristol Bay,North,1202,-1,SockeyeNaknekBristol BayNorth
1956,Sockeye,Nuyakuk,Bristol Bay,North,30,379,SockeyeNuyakukBristol BayNorth
1957,Sockeye,Nuyakuk,Bristol Bay,North,67,18,SockeyeNuyakukBristol BayNorth
1958,Sockeye,Nuyakuk,Bristol Bay,North,196,443,SockeyeNuyakukBristol BayNorth
1959,Sockeye,Nuyakuk,Bristol Bay,North,49,131,SockeyeNuyakukBristol BayNorth
1960,Sockeye,Nuyakuk,Bristol Bay,North,146,573,SockeyeNuyakukBristol BayNorth
1961,Sockeye,Nuyakuk,Bristol Bay,North,80,394,SockeyeNuyakukBristol BayNorth
1962,Sockeye,Nuyakuk,Bristol Bay,North,38,59,SockeyeNuyakukBristol BayNorth
