ID,Year,Value
7,1992,558.6295062
7,1993,311.0988457
7,1994,125.2100617
7,1995,182.999321
7,1996,392.966963
7,1997,293.7620679
7,1998,279.3147531
7,1999,173.3677778
7,2000,373.7038765
7,2001,522.9927963
7,2002,443.0509877
7,2003,185.888784
7,2004,674.2080247
7,2005,292.908
7,2006,1004.569957
7,2007,271.6095185
7,2008,946.7806975
7,2009,357.9382716
8,1952,289.412332
8,1953,505.0156811
8,1954,415.2814899
8,1955,540.4919893
8,1956,1206.194478
8,1957,901.107628
8,1958,453.33288
8,1959,1034.236466
8,1960,617.7368823
8,1961,924.3740756
8,1962,1289.87371
8,1963,692.5368075
8,1964,478.974521
8,1965,1052.998947
8,1966,947.999052
8,1967,788.0748333
8,1968,733.1600833
8,1969,799.6358333
8,1970,982.685
8,1971,1414.295667
8,1972,1738.003667
8,1973,555.8914167
8,1974,342.0129167
8,1975,315.03725
8,1976,443.1716667
8,1977,392.1105833
8,1978,508.684
8,1979,392.1105833
8,1980,788.0748333
8,1981,628.1476667
8,1982,458.5863333
8,1983,339.1226667
8,1984,332.37875
8,1985,688.8429167
8,1986,776.5138333
8,1987,702.33075
8,1988,712.9283333
8,1989,495.1961667
8,1990,659.9404167
8,1991,341.0495
8,1992,193.64675
8,1993,280.35425
8,1994,160.8905833
8,1995,423.9033333
8,1996,419.08625
8,1997,412.3423333
8,1998,455.6960833
8,1999,200.3906667
8,2000,346.83
8,2001,687
8,2002,255.3054167
8,2003,340.0860833
8,2004,475.2
8,2005,492.618
8,2006,361.28125
8,2007,104.049
8,2008,195.5735833
8,2009,270.725
9,1974,836.999163
9,1975,989.99901
9,1976,1767.998232
9,1977,1217.998782
9,1978,1017.998982
9,1979,860.999139
9,1980,677.999322
9,1981,519.99948
9,1982,637.999362
9,1983,319.99968
9,1984,308.999691
9,1985,1147.998852
9,1986,979.99902
9,1987,1064.998935
9,1988,505.68
9,1989,482.763
9,1990,434.125
9,1991,978.285
9,1992,422.334
9,1993,380.116
9,1994,456.228
9,1995,430.681
9,1996,684.177
9,1997,612.87
9,1998,614.992
9,1999,513.76
9,2000,884.1706
9,2001,652.86104
9,2002,748.201384
9,2003,742
9,2004,1079
9,2005,591
9,2006,725
9,2007,144.585
9,2008,940
9,2009,427
10,1974,175.999824
10,1975,207.999792
10,1976,371.999628
10,1977,256.999743
10,1978,213.999786
10,1979,180.999819
10,1980,142.999857
10,1981,109.99989
10,1982,134.999865
10,1983,66.999933
10,1984,64.999935
10,1985,260.999739
10,1986,296.999703
10,1987,255.999744
10,1988,200.999799
10,1989,273.999726
10,1990,266.999733
10,1991,300.999699
10,1992,293.999706
10,1993,344.999655
10,1994,286.999713
10,1995,222.999777
10,1996,250.999749
10,1997,225.999774
10,1998,247.999752
10,1999,252.999747
10,2000,242.999757
10,2001,282.999717
10,2002,334.999665
10,2003,105.999894
10,2004,168.999831
10,2005,88.999911
10,2006,219
10,2007,40
10,2008,278
10,2009,41
11,1965,3523.084703
11,1966,4848.467763
11,1967,2171.732783
11,1968,3218.485033
11,1969,2304.640623
11,1970,3535.147309
11,1971,5050.634784
11,1972,2027.729822
11,1973,2694.772533
11,1974,3599.68023
11,1975,2324.27664
11,1976,2301.99552
11,1977,3284.4308
11,1978,4363.354
11,1979,4696.53
11,1980,3967.96
11,1981,1083.6
11,1982,2878.2
11,1983,2391.05
11,1984,1958.98
11,1985,3222
11,1986,2971.76
11,1987,3412.26
11,1988,3563.56
11,1989,1665.75
11,1990,2550.84
11,1991,1950.88
11,1992,1641.64
11,1993,942.21
11,1994,1477.98
11,1995,1144.31
11,1996,1718.55
11,1997,1539
11,1998,1495
11,1999,2599
11,2000,2453
11,2001,3139
11,2002,2835.36874
11,2003,2160.609983
11,2004,5417
11,2005,2123.612126
11,2006,4735
11,2007,1510
11,2008,4780
11,2009,1005.21327
12,1965,492.45
12,1966,1114.344
12,1967,301.098
12,1968,709.128
12,1969,397.712
12,1970,770.098
12,1971,736.33
12,1972,326.424
12,1973,615.328
12,1974,995.218
12,1975,865.774
12,1976,1346.968
12,1977,950.194
12,1978,1928.528
12,1979,408.59
12,1980,1226.7
12,1981,839.02
12,1982,767.6
12,1983,1689.52
12,1984,1029.3
12,1985,1092.5
12,1986,948.74
12,1987,812.25
12,1988,432.65
12,1989,818.72
12,1990,1110.99
12,1991,496.12
12,1992,600.1
12,1993,2247.7
12,1994,560.56
12,1995,107.8
12,1996,660.48
12,1997,1796
12,1998,1361
12,1999,1040
12,2000,1248
12,2001,3284
12,2002,2474.525478
12,2003,1740.66187
12,2004,2492
12,2005,1186
12,2006,2161
12,2007,1174
12,2008,2190
12,2009,638.7551867
13,1983,405.7795053
13,1984,280.7642261
13,1985,117.708168
13,1986,458.4700341
13,1987,442.3924065
13,1988,200.9171211
13,1989,379.6004335
13,1990,213.6231548
13,1991,118.5216541
13,1992,239.3255073
13,1993,17.85258196
13,1994,355.6801954
13,1995,196.1359328
13,1996,6.6
13,1997,13.4
13,1998,115.2525998
13,1999,465.1974115
13,2000,193.8492393
13,2001,244.0254199
13,2002,130.0456683
13,2003,72.08
13,2004,55.48
13,2005,45.15
13,2006,28.38
13,2007,40.25
13,2008,40.26
13,2009,267.03
14,1965,859.0934608
14,1966,1438.940481
14,1967,1096.452935
14,1968,1119.449701
14,1969,382.731886
14,1970,1554.208439
14,1971,337.5282574
14,1972,301.1747256
14,1973,932.2047407
14,1974,487.770528
14,1975,507.5969324
14,1976,294.3172861
14,1977,581.1645323
14,1978,836.9710417
14,1979,1111.912068
14,1980,1218.249932
14,1981,491.6118078
14,1982,606.5569881
14,1983,641.6990202
14,1984,820.4828018
14,1985,696.8911532
14,1986,868.4052544
14,1987,1481.14154
14,1988,525.0415294
14,1989,480.3094338
14,1990,358.5211976
14,1991,471.5060213
14,1992,497.8245551
14,1993,80.69324473
14,1994,366.9846328
14,1995,625.0454555
14,1996,256.4940153
14,1997,112.9021391
14,1998,273.4982423
14,1999,164.9997725
14,2000,83.85275747
14,2001,583.516288
14,2002,222.9807433
14,2003,332.45
14,2004,379.5
14,2005,354.83
14,2006,858.13
14,2007,1549.184
14,2008,685.99
14,2009,583.234
15,1968,155.5
15,1969,1407.966457
15,1970,6938.513176
15,1971,2518.777394
15,1972,1498.693006
15,1973,159
15,1974,3600.5537
15,1975,1909.034723
15,1976,2231.796975
15,1977,646.4241938
15,1978,165.2
15,1979,3784.286068
15,1980,2933.355881
15,1981,180.3
15,1982,329.3569519
15,1983,2538.116861
15,1984,1745.176463
15,1985,1227.88366
15,1986,532.6502761
15,1987,5053.909673
15,1988,3611.00193
15,1989,7419.484
15,1990,3454.185
15,1991,4329.954
15,1992,1648.571
15,1993,1527.692
15,1994,1410.988
15,1995,3778.964
15,1996,1214.239
15,1997,1579.929929
15,1998,1311.864958
15,1999,3424.569299
15,2000,2334.985636
15,2001,5023.297373
15,2002,5831.681416
15,2003,2574.489198
15,2004,5260.698152
15,2005,1019.347192
15,2006,2315.899754
15,2007,2004.062959
15,2008,4117.422634
15,2009,181.632
16,1965,969
16,1966,639
16,1967,654
16,1968,417
16,1969,534
16,1970,557
16,1971,393
16,1972,392
16,1973,137
16,1974,388
16,1975,488
16,1976,229
16,1977,66
16,1978,140
16,1979,72
16,1980,57
16,1981,178
16,1982,20
16,1983,20.71717172
16,1984,6.545454545
16,1985,26.64646465
16,1986,4.121212121
16,1987,115.5454545
16,1988,121.9090909
16,1989,79.41414141
16,1990,272.5555556
16,1991,191.6565657
16,1992,247.75
16,1993,274.25
16,1994,183.25
16,1995,305
16,1996,586.5292929
16,1997,369.7080808
16,1998,277.1111111
16,1999,507.9292929
16,2000,1405.365152
16,2001,1989.516162
16,2002,588.2727273
16,2003,1164.777778
16,2004,1213.737374
16,2005,1290
16,2006,1405
16,2007,2754
16,2008,1329
16,2009,573
17,1968,692.2195122
17,1969,712.3658537
17,1970,4776.560976
17,1971,2101.463415
17,1972,777.4878049
17,1973,575.5609756
17,1974,1422.926829
17,1975,1278.560976
