Major Popn Group,Population,Year,Spawners (total),Spawners (natural origin),Spawners (hatchery origin),Broodstock take,Harvest,Harvest rate,Prop of age-3,Prop of age-4,Prop of age-5,Prop of age-6,Brood year recruits,R per natural-origin spawner,R per total spawner
Grande Ronde R,Minam,1966,822,822,0,0,562,0.43,0.08,0.84,0.08,0,1387,1.69,1.69
Grande Ronde R,Minam,1967,305,305,0,0,317,0.55,0.16,0.52,0.32,0,1201,3.94,3.94
Grande Ronde R,Minam,1968,657,657,0,0,385,0.42,0.2,0.73,0.07,0,1663,2.53,2.53
Grande Ronde R,Minam,1969,931,931,0,0,788,0.48,0.07,0.82,0.11,0,1480,1.59,1.59
Grande Ronde R,Minam,1970,942,942,0,0,813,0.49,0.12,0.69,0.19,0,803,0.85,0.85
Grande Ronde R,Minam,1971,652,652,0,0,286,0.34,0.13,0.81,0.06,0,277,0.42,0.42
Grande Ronde R,Minam,1972,871,871,0,0,783,0.5,0.08,0.78,0.14,0,527,0.61,0.61
Grande Ronde R,Minam,1973,683,683,0,0,797,0.55,0.03,0.8,0.17,0,1648,2.41,2.41
Grande Ronde R,Minam,1974,459,459,0,0,255,0.37,0.05,0.73,0.23,0,252,0.55,0.55
Grande Ronde R,Minam,1975,377,377,0,0,0,0,0,0.38,0.63,0,90,0.24,0.24
Grande Ronde R,Minam,1976,547,547,0,0,2,0.01,0.05,0.77,0.18,0,115,0.21,0.21
Grande Ronde R,Minam,1977,267,267,0,0,151,0.38,0.07,0.68,0.25,0,170,0.64,0.64
Grande Ronde R,Minam,1978,1446,1446,0,0,90,0.06,0,0.13,0.87,0,386,0.27,0.27
Grande Ronde R,Minam,1979,92,92,0,0,3,0.04,0.07,0.68,0.25,0,125,1.36,1.36
Grande Ronde R,Minam,1980,102,102,0,0,3,0.03,0.07,0.68,0.25,0,475,4.66,4.66
Grande Ronde R,Minam,1981,140,140,0,0,9,0.07,0.07,0.68,0.25,0,1067,7.62,7.62
Grande Ronde R,Minam,1982,228,228,0,0,19,0.09,0.07,0.68,0.25,0,343,1.5,1.5
Grande Ronde R,Minam,1983,216,216,0,0,21,0.09,0,0.12,0.88,0,806,3.73,3.73
Grande Ronde R,Minam,1984,233,233,0,0,25,0.1,0,0.69,0.31,0,307,1.32,1.32
Grande Ronde R,Minam,1985,1209,1209,0,0,84,0.07,0.04,0.73,0.23,0,337,0.28,0.28
Grande Ronde R,Minam,1986,655,327,328,0,27,0.08,0.02,0.63,0.35,0,343,0.52,1.05
Grande Ronde R,Minam,1987,908,454,454,0,39,0.08,0.01,0.85,0.14,0,143,0.16,0.31
Grande Ronde R,Minam,1988,868,542,326,0,81,0.14,0.03,0.35,0.61,0,199,0.23,0.37
Grande Ronde R,Minam,1989,319,319,0,0,33,0.1,0.04,0.72,0.24,0,107,0.34,0.34
Grande Ronde R,Minam,1990,528,231,297,0,31,0.12,0,0.75,0.25,0,12,0.02,0.05
Grande Ronde R,Minam,1991,399,246,153,0,26,0.1,0.03,0.49,0.49,0,64,0.16,0.26
Grande Ronde R,Minam,1992,394,37,357,0,3,0.08,0,0.74,0.26,0,322,0.82,8.7
Grande Ronde R,Minam,1993,415,232,183,0,17,0.07,0,0.35,0.65,0,360,0.87,1.55
Grande Ronde R,Minam,1994,54,30,24,0,3,0.1,0,0.39,0.61,0,109,2.02,3.63
Grande Ronde R,Minam,1995,70,70,0,0,3,0.05,0.11,0.89,0,0,88,1.26,1.26
Grande Ronde R,Minam,1996,311,296,15,0,15,0.05,0.04,0.96,0,0,615,1.98,2.08
Grande Ronde R,Minam,1997,188,180,8,0,13,0.07,0.02,0.9,0.08,0,647,3.44,3.59
Grande Ronde R,Minam,1998,209,209,0,0,12,0.06,0,0.21,0.79,0,1054,5.04,5.04
Grande Ronde R,Minam,1999,149,142,7,0,6,0.04,0,0.6,0.4,0,229,1.54,1.61
Grande Ronde R,Minam,2000,461,449,12,0,26,0.06,0.04,0.96,0,0,546,1.18,1.22
Grande Ronde R,Minam,2001,608,572,36,0,92,0.15,0.04,0.71,0.24,0,340,0.56,0.59
Grande Ronde R,Minam,2002,664,657,7,0,93,0.13,0.01,0.78,0.21,0,600,0.9,0.91
Grande Ronde R,Minam,2003,559,551,8,0,56,0.09,0.01,0.25,0.73,0,NA,NA,NA
Grande Ronde R,Minam,2004,493,486,7,0,58,0.11,0,0.87,0.13,0,NA,NA,NA
Grande Ronde R,Minam,2005,348,348,0,0,25,0.08,0.14,0.68,0.18,0,NA,NA,NA
Grande Ronde R,Minam,2006,448,422,26,0,35,0.08,0.03,0.78,0.19,0,NA,NA,NA
Grande Ronde R,Minam,2007,313,302,11,0,29,0.09,0,0.42,0.58,0,NA,NA,NA
Grande Ronde R,Minam,2008,549,470,79,0,89,0.16,0,0.76,0.24,0,NA,NA,NA
Grande Ronde R,Minam,2009,765,765,0,0,NA,NA,0.09,0.64,0.27,0,NA,NA,NA
Grande Ronde R,Wenaha,1964,1586,1586,0,0,1716,0.55,0.13,0.74,0.14,0,1302,0.82,0.82
Grande Ronde R,Wenaha,1965,759,759,0,0,1178,0.65,0.15,0.81,0.04,0,4295,5.66,5.66
Grande Ronde R,Wenaha,1966,2672,2672,0,0,1581,0.39,0.08,0.84,0.08,0,4587,1.72,1.72
Grande Ronde R,Wenaha,1967,1778,1778,0,0,1958,0.53,0.04,0.59,0.37,0,2774,1.56,1.56
Grande Ronde R,Wenaha,1968,1230,1230,0,0,488,0.41,0.43,0.47,0.1,0,1716,1.4,1.4
Grande Ronde R,Wenaha,1969,2442,2442,0,0,1401,0.38,0.07,0.84,0.09,0,3642,1.49,1.49
Grande Ronde R,Wenaha,1970,2682,2682,0,0,2010,0.44,0.05,0.89,0.07,0,800,0.3,0.3
Grande Ronde R,Wenaha,1971,1576,1576,0,0,802,0.36,0.1,0.84,0.06,0,180,0.11,0.11
Grande Ronde R,Wenaha,1972,682,682,0,0,642,0.49,0.02,0.57,0.41,0,434,0.64,0.64
Grande Ronde R,Wenaha,1973,1971,1971,0,0,2285,0.54,0.02,0.81,0.17,0,1210,0.61,0.61
Grande Ronde R,Wenaha,1974,471,471,0,0,261,0.37,0.05,0.73,0.23,0,138,0.29,0.29
Grande Ronde R,Wenaha,1975,288,288,0,0,0,0,0,0.38,0.63,0,121,0.42,0.42
Grande Ronde R,Wenaha,1976,192,192,0,0,0,0.01,0.05,0.77,0.18,0,227,1.18,1.18
Grande Ronde R,Wenaha,1977,577,577,0,0,243,0.3,0.02,0.63,0.35,0,233,0.4,0.4
Grande Ronde R,Wenaha,1978,740,740,0,0,46,0.06,0,0.13,0.87,0,396,0.54,0.54
Grande Ronde R,Wenaha,1979,48,48,0,0,8,0.16,0.02,0.63,0.35,0,74,1.54,1.54
Grande Ronde R,Wenaha,1980,231,231,0,0,14,0.06,0.02,0.63,0.35,0,172,0.74,0.74
Grande Ronde R,Wenaha,1981,192,192,0,0,13,0.07,0.02,0.63,0.35,0,518,2.7,2.7
Grande Ronde R,Wenaha,1982,260,260,0,0,23,0.09,0.02,0.63,0.35,0,468,1.8,1.8
Grande Ronde R,Wenaha,1983,221,221,0,0,22,0.09,0,0.12,0.88,0,221,1,1
Grande Ronde R,Wenaha,1984,115,115,0,0,12,0.1,0,0.69,0.31,0,46,0.4,0.4
Grande Ronde R,Wenaha,1985,346,346,0,0,24,0.07,0.04,0.73,0.23,0,55,0.16,0.16
Grande Ronde R,Wenaha,1986,654,654,0,0,55,0.08,0.02,0.63,0.35,0,111,0.17,0.17
Grande Ronde R,Wenaha,1987,552,48,504,0,4,0.08,0,0.86,0.14,0,60,0.11,1.25
Grande Ronde R,Wenaha,1988,610,168,442,0,26,0.14,0,0.16,0.84,0,203,0.33,1.21
Grande Ronde R,Wenaha,1989,65,49,16,0,5,0.1,0.06,0.66,0.28,0,59,0.91,1.2
Grande Ronde R,Wenaha,1990,302,67,235,0,9,0.12,0,0.74,0.26,0,12,0.04,0.18
Grande Ronde R,Wenaha,1991,272,91,181,0,9,0.1,0.03,0.45,0.52,0,61,0.22,0.67
Grande Ronde R,Wenaha,1992,636,55,581,0,4,0.08,0.03,0.71,0.26,0,505,0.79,9.18
Grande Ronde R,Wenaha,1993,337,183,154,0,13,0.07,0,0.19,0.81,0,338,1,1.85
Grande Ronde R,Wenaha,1994,150,30,120,0,3,0.1,0,0.39,0.61,0,167,1.11,5.57
Grande Ronde R,Wenaha,1995,85,57,28,0,2,0.05,0.11,0.89,0,0,60,0.71,1.05
Grande Ronde R,Wenaha,1996,433,424,9,0,21,0.05,0.05,0.93,0.02,0,646,1.49,1.52
Grande Ronde R,Wenaha,1997,281,272,9,0,20,0.07,0.02,0.69,0.29,0,861,3.06,3.17
Grande Ronde R,Wenaha,1998,258,253,5,0,14,0.06,0.02,0.54,0.43,0,991,3.84,3.92
Grande Ronde R,Wenaha,1999,84,71,13,0,3,0.04,0.02,0.74,0.23,0,315,3.75,4.44
Grande Ronde R,Wenaha,2000,471,458,13,0,27,0.06,0.02,0.98,0,0,707,1.5,1.54
Grande Ronde R,Wenaha,2001,899,767,132,0,128,0.15,0.01,0.8,0.19,0,457,0.51,0.6
Grande Ronde R,Wenaha,2002,685,660,25,0,95,0.13,0,0.82,0.18,0,520,0.76,0.79
Grande Ronde R,Wenaha,2003,541,541,0,0,55,0.09,0,0.38,0.61,0,NA,NA,NA
Grande Ronde R,Wenaha,2004,676,665,11,0,76,0.11,0.06,0.83,0.12,0,NA,NA,NA
Grande Ronde R,Wenaha,2005,478,451,27,0,36,0.08,0.05,0.76,0.19,0,NA,NA,NA
Grande Ronde R,Wenaha,2006,359,359,0,0,29,0.08,0.03,0.86,0.11,0,NA,NA,NA
Grande Ronde R,Wenaha,2007,293,270,23,0,26,0.09,0,0.45,0.55,0,NA,NA,NA
Grande Ronde R,Wenaha,2008,365,344,21,0,60,0.16,0.07,0.76,0.16,0,NA,NA,NA
Grande Ronde R,Wenaha,2009,348,336,12,0,NA,NA,0.16,0.6,0.24,0,NA,NA,NA
Lower Snake R,Tucannon,1979,420,420,0,0,18,0.04,0.02,0.68,0.3,0,554,1.32,1.32
Lower Snake R,Tucannon,1980,512,512,0,0,16,0.03,0.02,0.68,0.3,0,532,1.04,1.04
Lower Snake R,Tucannon,1981,835,835,0,0,57,0.07,0.02,0.68,0.3,0,416,0.5,0.5
Lower Snake R,Tucannon,1982,512,512,0,0,46,0.09,0.02,0.68,0.3,0,729,1.42,1.42
Lower Snake R,Tucannon,1983,579,579,0,0,56,0.09,0.02,0.68,0.3,0,714,1.23,1.23
Lower Snake R,Tucannon,1984,337,337,0,0,36,0.1,0.02,0.68,0.3,0,397,1.18,1.18
Lower Snake R,Tucannon,1985,569,569,0,22,42,0.07,0.25,0.33,0.42,0,317,0.56,0.56
Lower Snake R,Tucannon,1986,520,520,0,116,53,0.08,0,0.71,0.29,0,475,0.91,0.91
Lower Snake R,Tucannon,1987,481,481,0,101,48,0.08,0.01,0.86,0.13,0,338,0.7,0.7
Lower Snake R,Tucannon,1988,304,292,12,116,60,0.14,0.01,0.62,0.37,0,303,1,1.04
Lower Snake R,Tucannon,1989,276,210,66,67,29,0.1,0.05,0.63,0.33,0,304,1.1,1.45
Lower Snake R,Tucannon,1990,611,403,208,60,61,0.12,0.01,0.76,0.23,0,48,0.08,0.12
Lower Snake R,Tucannon,1991,390,191,199,41,25,0.1,0,0.76,0.24,0,97,0.25,0.51
Lower Snake R,Tucannon,1992,564,316,248,47,30,0.08,0.01,0.64,0.35,0,29,0.05,0.09
Lower Snake R,Tucannon,1993,436,235,201,50,21,0.07,0.03,0.8,0.17,0,148,0.34,0.63
Lower Snake R,Tucannon,1994,70,49,21,36,8,0.1,0.02,0.38,0.6,0,70,1,1.43
Lower Snake R,Tucannon,1995,11,4,7,10,0,0.05,0,0.73,0.27,0,4,0.36,1
Lower Snake R,Tucannon,1996,136,86,50,35,6,0.05,0.11,0.22,0.67,0,63,0.46,0.73
Lower Snake R,Tucannon,1997,146,69,77,43,8,0.07,0.01,0.98,0.01,0,894,6.12,12.96
Lower Snake R,Tucannon,1998,51,30,21,48,4,0.06,0,0.79,0.21,0,445,8.73,14.83
Lower Snake R,Tucannon,1999,107,1,106,4,0,0.04,0,0.12,0.88,0,150,1.4,150
Lower Snake R,Tucannon,2000,239,57,182,12,3,0.06,0.17,0.77,0.06,0,479,2,8.4
Lower Snake R,Tucannon,2001,894,635,259,50,114,0.15,0.01,0.98,0.01,0,242,0.27,0.38
Lower Snake R,Tucannon,2002,897,314,583,50,50,0.13,0.02,0.74,0.24,0,195,0.22,0.62
Lower Snake R,Tucannon,2003,366,205,161,38,24,0.09,0.01,0.5,0.49,0,NA,NA,NA
Lower Snake R,Tucannon,2004,480,336,144,51,46,0.11,0,0.98,0.02,0,NA,NA,NA
Lower Snake R,Tucannon,2005,317,219,98,49,22,0.08,0.01,0.81,0.18,0,NA,NA,NA
Lower Snake R,Tucannon,2006,161,89,72,36,9,0.08,0.05,0.88,0.06,0,NA,NA,NA
Lower Snake R,Tucannon,2007,250,145,105,36,16,0.09,0.04,0.58,0.38,0,NA,NA,NA
Lower Snake R,Tucannon,2008,1056,475,581,42,86,0.16,0.12,0.77,0.11,0,NA,NA,NA
Lower Snake R,Tucannon,2009,1676,670,1006,89,NA,NA,0.1,0.84,0.06,0,NA,NA,NA
Middle Fork Salmon R,Bear Valley,1960,1385,1385,0,0,3156,0.71,0.07,0.67,0.26,0,3586,2.59,2.59
Middle Fork Salmon R,Bear Valley,1961,2376,2376,0,0,3100,0.58,0.05,0.42,0.53,0,3393,1.43,1.43
Middle Fork Salmon R,Bear Valley,1962,1721,1721,0,0,3798,0.69,0.03,0.47,0.51,0,4454,2.59,2.59
Middle Fork Salmon R,Bear Valley,1963,2106,2106,0,0,4984,0.71,0.03,0.29,0.67,0,2703,1.28,1.28
Middle Fork Salmon R,Bear Valley,1964,1893,1893,0,0,2956,0.62,0.04,0.43,0.53,0,3332,1.76,1.76
Middle Fork Salmon R,Bear Valley,1965,953,953,0,0,1573,0.64,0.08,0.41,0.51,0,2994,3.14,3.14
Middle Fork Salmon R,Bear Valley,1966,2002,2002,0,0,1862,0.49,0.03,0.41,0.56,0,1251,0.62,0.62
Middle Fork Salmon R,Bear Valley,1967,1636,1636,0,0,2122,0.58,0.08,0.22,0.71,0,1340,0.82,0.82
Middle Fork Salmon R,Bear Valley,1968,1999,1999,0,0,1829,0.49,0.05,0.49,0.46,0,4212,2.11,2.11
Middle Fork Salmon R,Bear Valley,1969,1334,1334,0,0,1125,0.47,0.04,0.49,0.47,0,830,0.62,0.62
Middle Fork Salmon R,Bear Valley,1970,1203,1203,0,0,1147,0.49,0.02,0.3,0.68,0,942,0.78,0.78
Middle Fork Salmon R,Bear Valley,1971,531,531,0,0,314,0.39,0.06,0.42,0.53,0,284,0.53,0.53
Middle Fork Salmon R,Bear Valley,1972,819,819,0,0,986,0.55,0.01,0.48,0.52,0,272,0.33,0.33
Middle Fork Salmon R,Bear Valley,1973,1440,1440,0,0,2222,0.61,0.01,0.1,0.9,0,1285,0.89,0.89
Middle Fork Salmon R,Bear Valley,1974,450,450,0,0,307,0.41,0.01,0.4,0.59,0,274,0.61,0.61
Middle Fork Salmon R,Bear Valley,1975,726,726,0,0,1,0,0,0.17,0.83,0,60,0.08,0.08
Middle Fork Salmon R,Bear Valley,1976,259,259,0,0,1,0.01,0.04,0.37,0.59,0,84,0.32,0.32
Middle Fork Salmon R,Bear Valley,1977,407,407,0,0,224,0.36,0,0.71,0.28,0,164,0.4,0.4
Middle Fork Salmon R,Bear Valley,1978,741,741,0,0,168,0.18,0,0.09,0.91,0,151,0.2,0.2
Middle Fork Salmon R,Bear Valley,1979,223,223,0,0,9,0.04,0.02,0.15,0.83,0,177,0.79,0.79
Middle Fork Salmon R,Bear Valley,1980,43,43,0,0,1,0.03,0.04,0.37,0.59,0,261,6.07,6.07
Middle Fork Salmon R,Bear Valley,1981,157,157,0,0,11,0.07,0,0.62,0.38,0,295,1.88,1.88
Middle Fork Salmon R,Bear Valley,1982,91,91,0,0,8,0.09,0.04,0.37,0.59,0,417,4.58,4.58
Middle Fork Salmon R,Bear Valley,1983,178,178,0,0,17,0.09,0.04,0.37,0.59,0,1336,7.51,7.51
Middle Fork Salmon R,Bear Valley,1984,155,155,0,0,16,0.1,0.04,0.37,0.59,0,282,1.82,1.82
Middle Fork Salmon R,Bear Valley,1985,306,306,0,0,22,0.07,0,0.42,0.58,0,154,0.5,0.5
Middle Fork Salmon R,Bear Valley,1986,244,244,0,0,20,0.08,0.04,0.39,0.57,0,259,1.06,1.06
Middle Fork Salmon R,Bear Valley,1987,474,474,0,0,41,0.08,0,0.39,0.61,0,165,0.35,0.35
Middle Fork Salmon R,Bear Valley,1988,1159,1159,0,0,180,0.14,0,0.16,0.84,0,776,0.67,0.67
Middle Fork Salmon R,Bear Valley,1989,95,95,0,0,10,0.1,0,0.35,0.65,0,134,1.41,1.41
Middle Fork Salmon R,Bear Valley,1990,197,197,0,0,26,0.12,0.01,0.47,0.53,0,23,0.12,0.12
Middle Fork Salmon R,Bear Valley,1991,191,191,0,0,21,0.1,0.02,0.25,0.73,0,25,0.13,0.13
Middle Fork Salmon R,Bear Valley,1992,185,185,0,0,15,0.08,0.01,0.45,0.55,0,158,0.85,0.85
Middle Fork Salmon R,Bear Valley,1993,737,737,0,0,56,0.07,0,0.14,0.86,0,495,0.67,0.67
Middle Fork Salmon R,Bear Valley,1994,34,34,0,0,3,0.1,0.04,0.37,0.59,0,76,2.24,2.24
Middle Fork Salmon R,Bear Valley,1995,17,17,0,0,0,0.05,0.04,0.37,0.59,0,92,5.41,5.41
Middle Fork Salmon R,Bear Valley,1996,61,61,0,0,3,0.05,0.04,0.69,0.27,0,433,7.1,7.1
Middle Fork Salmon R,Bear Valley,1997,235,235,0,0,17,0.07,0,0.51,0.45,0,1529,6.51,6.51
Middle Fork Salmon R,Bear Valley,1998,422,422,0,0,23,0.06,0.07,0.11,0.82,0,1896,4.49,4.49
Middle Fork Salmon R,Bear Valley,1999,78,78,0,0,3,0.04,0,0.59,0.34,0,112,1.44,1.44
Middle Fork Salmon R,Bear Valley,2000,325,325,0,0,19,0.06,0,0.96,0.04,0,405,1.25,1.25
Middle Fork Salmon R,Bear Valley,2001,739,739,0,0,124,0.15,0,0.87,0.12,0,276,0.37,0.37
Middle Fork Salmon R,Bear Valley,2002,1176,1176,0,0,166,0.13,0.01,0.4,0.58,0,344,0.29,0.29
Middle Fork Salmon R,Bear Valley,2003,1314,1314,0,0,132,0.09,0,0.04,0.94,0,NA,NA,NA
Middle Fork Salmon R,Bear Valley,2004,342,342,0,0,38,0.11,0.06,0.84,0.1,0,NA,NA,NA
Middle Fork Salmon R,Bear Valley,2005,306,306,0,0,24,0.08,0.07,0.66,0.26,0.01,NA,NA,NA
Middle Fork Salmon R,Bear Valley,2006,158,158,0,0,13,0.08,0.04,0.79,0.17,0,NA,NA,NA
Middle Fork Salmon R,Bear Valley,2007,309,309,0,0,26,0.09,0.08,0.35,0.54,0.02,NA,NA,NA
Middle Fork Salmon R,Bear Valley,2008,440,440,0,0,77,0.16,0.06,0.66,0.27,0.01,NA,NA,NA
Middle Fork Salmon R,Big,1957,1109,1109,0,0,1761,0.62,0.04,0.36,0.6,0,3348,3.02,3.02
Middle Fork Salmon R,Big,1958,636,636,0,0,1790,0.75,0.04,0.36,0.6,0,3094,4.86,4.86
Middle Fork Salmon R,Big,1959,434,434,0,0,927,0.69,0.04,0.36,0.6,0,1575,3.63,3.63
Middle Fork Salmon R,Big,1960,764,764,0,0,1773,0.71,0.06,0.58,0.37,0,961,1.26,1.26
Middle Fork Salmon R,Big,1961,1858,1858,0,0,2402,0.58,0.06,0.42,0.52,0,1129,0.61,0.61
Middle Fork Salmon R,Big,1962,1099,1099,0,0,2251,0.69,0.1,0.48,0.42,0,922,0.84,0.84
Middle Fork Salmon R,Big,1963,730,730,0,0,1638,0.71,0.08,0.4,0.52,0,570,0.78,0.78
Middle Fork Salmon R,Big,1964,251,251,0,0,360,0.62,0.12,0.4,0.48,0,786,3.13,3.13
Middle Fork Salmon R,Big,1965,360,360,0,0,617,0.64,0.05,0.41,0.54,0,852,2.37,2.37
Middle Fork Salmon R,Big,1966,606,606,0,0,565,0.49,0.03,0.41,0.56,0,316,0.52,0.52
Middle Fork Salmon R,Big,1967,330,330,0,0,413,0.58,0.11,0.36,0.53,0,482,1.46,1.46
Middle Fork Salmon R,Big,1968,444,444,0,0,345,0.49,0.19,0.47,0.34,0,1363,3.07,3.07
Middle Fork Salmon R,Big,1969,320,320,0,0,266,0.47,0.05,0.38,0.57,0,265,0.83,0.83
Middle Fork Salmon R,Big,1970,335,335,0,0,314,0.49,0.04,0.23,0.74,0,446,1.33,1.33
Middle Fork Salmon R,Big,1971,158,158,0,0,92,0.39,0.07,0.39,0.55,0,124,0.78,0.78
Middle Fork Salmon R,Big,1972,296,296,0,0,356,0.55,0.01,0.44,0.55,0,61,0.21,0.21
Middle Fork Salmon R,Big,1973,473,473,0,0,730,0.61,0.01,0.12,0.88,0,618,1.31,1.31
Middle Fork Salmon R,Big,1974,138,138,0,0,95,0.41,0,0.51,0.49,0,75,0.54,0.54
Middle Fork Salmon R,Big,1975,380,380,0,0,0,0,0,0.17,0.83,0,22,0.06,0.06
Middle Fork Salmon R,Big,1976,108,108,0,0,0,0.01,0.07,0.39,0.55,0,53,0.49,0.49
Middle Fork Salmon R,Big,1977,44,44,0,0,24,0.36,0,0.71,0.28,0,93,2.11,2.11
Middle Fork Salmon R,Big,1978,468,468,0,0,106,0.18,0,0.02,0.98,0,94,0.2,0.2
Middle Fork Salmon R,Big,1979,74,74,0,0,3,0.04,0.02,0.15,0.83,0,184,2.49,2.49
Middle Fork Salmon R,Big,1980,20,20,0,0,0,0.03,0.07,0.39,0.55,0,313,15.65,15.65
Middle Fork Salmon R,Big,1981,108,108,0,0,7,0.07,0,0.62,0.38,0,447,4.14,4.14
Middle Fork Salmon R,Big,1982,35,35,0,0,2,0.09,0.07,0.39,0.55,0,189,5.4,5.4
Middle Fork Salmon R,Big,1983,133,133,0,0,12,0.09,0.07,0.39,0.55,0,490,3.68,3.68
Middle Fork Salmon R,Big,1984,207,207,0,0,21,0.1,0.07,0.39,0.55,0,267,1.29,1.29
Middle Fork Salmon R,Big,1985,345,345,0,0,25,0.07,0,0.42,0.58,0,116,0.34,0.34
Middle Fork Salmon R,Big,1986,330,330,0,0,28,0.08,0,0.23,0.77,0,104,0.32,0.32
Middle Fork Salmon R,Big,1987,177,177,0,0,15,0.08,0,0.43,0.56,0,56,0.32,0.32
Middle Fork Salmon R,Big,1988,498,498,0,0,77,0.14,0,0.28,0.71,0,319,0.64,0.64
Middle Fork Salmon R,Big,1989,148,148,0,0,16,0.1,0,0.35,0.65,0,63,0.43,0.43
Middle Fork Salmon R,Big,1990,99,99,0,0,13,0.12,0.01,0.47,0.53,0,17,0.17,0.17
Middle Fork Salmon R,Big,1991,64,64,0,0,7,0.1,0.02,0.25,0.73,0,6,0.09,0.09
Middle Fork Salmon R,Big,1992,108,108,0,0,9,0.08,0.01,0.67,0.32,0,84,0.78,0.78
Middle Fork Salmon R,Big,1993,276,276,0,0,20,0.07,0.02,0.18,0.81,0,160,0.58,0.58
Middle Fork Salmon R,Big,1994,15,15,0,0,1,0.1,0.07,0.39,0.55,0,39,2.6,2.6
Middle Fork Salmon R,Big,1995,10,10,0,0,0,0.05,0.07,0.39,0.55,0,22,2.2,2.2
Middle Fork Salmon R,Big,1996,5,5,0,0,0,0.05,0.03,0.66,0.31,0,91,18.2,18.2
Middle Fork Salmon R,Big,1997,163,163,0,0,12,0.07,0.05,0.49,0.46,0,1110,6.81,6.81
Middle Fork Salmon R,Big,1998,74,74,0,0,4,0.06,0,0.04,0.96,0,629,8.5,8.5
Middle Fork Salmon R,Big,1999,49,49,0,0,2,0.04,0.07,0.39,0.55,0,150,3.06,3.06
Middle Fork Salmon R,Big,2000,64,64,0,0,3,0.06,0,0.96,0.04,0,285,4.45,4.45
Middle Fork Salmon R,Big,2001,690,690,0,0,112,0.15,0.04,0.93,0.03,0,75,0.11,0.11
Middle Fork Salmon R,Big,2002,557,557,0,0,76,0.13,0.04,0.4,0.56,0,101,0.18,0.18
Middle Fork Salmon R,Big,2003,444,444,0,0,41,0.09,0.07,0.2,0.71,0.02,NA,NA,NA
Middle Fork Salmon R,Big,2004,248,248,0,0,28,0.11,0.06,0.84,0.1,0,NA,NA,NA
Middle Fork Salmon R,Big,2005,69,69,0,0,5,0.08,0.07,0.66,0.26,0.01,NA,NA,NA
Middle Fork Salmon R,Big,2006,44,44,0,0,3,0.08,0.04,0.79,0.17,0,NA,NA,NA
Middle Fork Salmon R,Big,2007,98,98,0,0,8,0.09,0.08,0.35,0.54,0.02,NA,NA,NA
Middle Fork Salmon R,Big,2008,207,207,0,0,36,0.16,0.06,0.66,0.27,0.01,NA,NA,NA
Middle Fork Salmon R,Camas,1963,473,473,0,0,NA,NA,0.02,0.38,0.6,0,NA,NA,NA
Middle Fork Salmon R,Camas,1964,554,554,0,0,NA,NA,0.02,0.38,0.6,0,569,1.03,1.03
Middle Fork Salmon R,Camas,1965,69,69,0,0,NA,NA,0.02,0.38,0.6,0,309,4.48,4.48
Middle Fork Salmon R,Camas,1966,369,369,0,0,NA,NA,0.02,0.38,0.6,0,328,0.89,0.89
Middle Fork Salmon R,Camas,1967,341,341,0,0,471,0.58,0.02,0.38,0.6,0,604,1.77,1.77
Middle Fork Salmon R,Camas,1968,513,513,0,0,483,0.49,0.02,0.38,0.6,0,1612,3.14,3.14
Middle Fork Salmon R,Camas,1969,157,157,0,0,134,0.47,0.02,0.38,0.6,0,587,3.74,3.74
Middle Fork Salmon R,Camas,1970,153,153,0,0,146,0.49,0.02,0.38,0.6,0,554,3.62,3.62
Middle Fork Salmon R,Camas,1971,216,216,0,0,132,0.39,0.02,0.38,0.6,0,98,0.45,0.45
Middle Fork Salmon R,Camas,1972,385,385,0,0,463,0.55,0.01,0.44,0.55,0,111,0.29,0.29
Middle Fork Salmon R,Camas,1973,551,551,0,0,849,0.61,0.01,0.12,0.88,0,585,1.06,1.06
Middle Fork Salmon R,Camas,1974,413,413,0,0,283,0.41,0.01,0.41,0.59,0,70,0.17,0.17
Middle Fork Salmon R,Camas,1975,307,307,0,0,0,0,0,0.17,0.83,0,27,0.09,0.09
Middle Fork Salmon R,Camas,1976,66,66,0,0,0,0.01,0.04,0.36,0.6,0,91,1.38,1.38
Middle Fork Salmon R,Camas,1977,203,203,0,0,112,0.36,0,0.72,0.28,0,189,0.93,0.93
Middle Fork Salmon R,Camas,1978,319,319,0,0,72,0.18,0,0.09,0.91,0,88,0.28,0.28
Middle Fork Salmon R,Camas,1979,41,41,0,0,1,0.04,0.03,0.15,0.83,0,48,1.17,1.17
Middle Fork Salmon R,Camas,1980,34,34,0,0,1,0.03,0.04,0.36,0.6,0,51,1.5,1.5
Middle Fork Salmon R,Camas,1981,191,191,0,0,13,0.07,0,0.63,0.38,0,52,0.27,0.27
Middle Fork Salmon R,Camas,1982,91,91,0,0,8,0.09,0.04,0.36,0.6,0,73,0.8,0.8
Middle Fork Salmon R,Camas,1983,81,81,0,0,7,0.09,0.04,0.36,0.6,0,47,0.58,0.58
Middle Fork Salmon R,Camas,1984,19,19,0,0,2,0.1,0.04,0.36,0.6,0,66,3.47,3.47
Middle Fork Salmon R,Camas,1985,66,66,0,0,4,0.07,0,0.42,0.58,0,40,0.61,0.61
Middle Fork Salmon R,Camas,1986,34,34,0,0,2,0.08,0.03,0.35,0.61,0,31,0.91,0.91
Middle Fork Salmon R,Camas,1987,100,100,0,0,8,0.08,0.01,0.43,0.56,0,19,0.19,0.19
